Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Gender Stereotypes and Peer Selection in STEM Domains Among Children and Adolescents.,McGuire L; Hoffman AJ; Mulvey KL; Hartstone-Rose A; Winterbottom M; Joy A; Law F; Balkwill F; Burns KP; Butler L; Drews M; Fields G; Smith H; Rutland A,"Gender stereotypes are harmful for girls' enrollment and performance in science and mathematics. So far, less is known about children's and adolescents' stereotypes regarding technology and engineering. In the current study, participants' (N = 1,206, girls n = 623; 5-17-years-old, M = 8.63, SD = 2.81) gender stereotypes for each of the STEM (science, technology, engineering, and mathematics) domains were assessed along with the relation between these stereotypes and a peer selection task in a STEM context. Participants reported beliefs that boys are usually more skilled than are girls in the domains of engineering and technology; however, participants did not report gender differences in ability/performance in science and mathematics. Responses to the stereotype measures in favor of one's in-group were greater for younger participants than older participants for both boys and girls. Perceptions that boys are usually better than girls at science were related to a greater likelihood of selecting a boy for help with a science question. These findings document the importance of domain specificity, even within STEM, in attempts to measure and challenge gender stereotypes in childhood and adolescence.",2022,,Sex Roles,87,9-10,455-470,,10.1007/s11199-022-01327-9,36447747,#1,McGuire 2022,"",""
Weight Stigma and Hypothalamic-Pituitary-Adrenocortical Axis Reactivity in Individuals Who Are Overweight.,McCleary-Gaddy AT; Miller CT; Grover KW; Hodge JJ; Major B,"BACKGROUND: Stigmatized people exhibit blunted cortisol responses to many stressors. PURPOSE: To examine the cortisol responses of individuals who are overweight to a stigma-related stressor involving interviewing for a weight-discriminatory company. METHODS: We recruited 170 men and women (mean age = 35.01) from towns located within about a 30-min drive of the study center. Weight was assessed using body mass index (BMI) and self-perceptions about being overweight. Participants were exposed to a laboratory stressor, modeled after the Trier Social Stress Test. In the stigmatizing condition, participants gave a supposedly videotaped speech about what makes them a good candidate for a job at a company that was described as having a weight-discriminatory health insurance benefit. Participants in the nonstigmatizing condition made a supposedly audiotaped speech for a company whose health insurance benefit was not described. Cortisol reactivity was then assessed. RESULTS: Participants who rated themselves as overweight or who were overweight according to their BMI evidenced a blunted cortisol response in the weight-stigmatizing condition, whereas lean participants in the weight-stigmatizing condition showed the rise in cortisol levels that typically occurs following the Trier Social Stress Test. CONCLUSIONS: People who experience the chronic stress of being stigmatized due to their weight show blunted cortisol responses just as other chronically stressed people do.",2019,Mar,Ann Behav Med,53,4,392-398,,10.1093/abm/kay042,29917036,#2,McCleary-Gaddy 2019,"",""
A Leak in the Academic Pipeline: Identity and Health Among Postdoctoral Women.,Ysseldyk R; Greenaway KH; Hassinger E; Zutrauen S; Lintz J; Bhatia MP; Frye M; Starkenburg E; Tai V,"Several challenges (e.g., sexism, parental leave, the glass ceiling, etc.) disproportionately affect women in academia (and beyond), and thus perpetuate the leaky pipeline metaphor for women who opt-out of an academic career. Although this pattern can be seen at all levels of the academic hierarchy, a critical time for women facing such challenges is during the postdoctoral stage, when personal life transitions and professional ambitions collide. Using a social identity approach, we explore factors affecting the mental health of postdoctoral women, including identity development (e.g., as a mother, a scientist) and lack of control (uncertainty about one's future personal and professional prospects), which likely contribute to the leak from academia. In this mixed-method research, Study 1 comprised interviews with postdoctoral women in North America (n = 13) and Europe (n = 8) across a range disciplines (e.g., psychology, physics, political science). Common themes included the negative impact of career uncertainty, gender-based challenges (especially sexism and maternity leave), and work-life balance on mental and physical health. However, interviewees also described attempts to overcome gender inequality and institutional barriers by drawing on support networks. Study 2 comprised an online survey of postdoctoral women (N = 146) from a range of countries and academic disciplines to assess the relationships between social identification (e.g., disciplinary, gender, social group), perceived control (i.e., over work and life), and mental health (i.e., depression, anxiety, stress, and life satisfaction). Postdoctoral women showed mild levels of stress and depression, and were only slightly satisfied with life. They also showed only moderate levels of perceived control over one's life and work. However, hierarchical regression analyses revealed that strongly identifying with one's discipline was most consistently positively associated with both perceived control and mental health. Collectively, these findings implicate the postdoctoral stage as being stressful and tenuous for women regardless of academic background or nationality. They also highlight the importance of disciplinary identity as a potentially protective factor for mental health that, in turn, may diminish the rate at which postdoctoral women leak from the academic pipeline.",2019,,Front Psychol,10,,1297,,10.3389/fpsyg.2019.01297,31231285,#3,Ysseldyk 2019,"",""
Sources of Male and Female Students' Belonging Uncertainty in the Computer Sciences.,Höhne E; Zander L,"Belonging uncertainty, defined as the general concern about the quality of one's social relationships in an academic setting, has been found to be an important determinant of academic achievement, and persistence. However, to date, only little research investigated the sources of belonging uncertainty. To address this research gap, we examined three potential sources of belonging uncertainty in a sample of undergraduate computer science students in Germany (N = 449) and focused on (a) perceived affective and academic exclusion by fellow students, (b) domain-specific academic self-efficacy beliefs, and (c) perception of one's individual performance potential compared to that of fellow students in the field. Perceived affective and academic exclusion by fellow students and domain-specific academic self-efficacy beliefs were significant predictors of female students' uncertainty about belonging in computer science. The perception of one's individual performance potential in comparison to that of fellow students, however, was a relevant predictor of both male and female students' belonging uncertainty in computer science. Our findings imply an expanded view of the theoretical concept of belonging uncertainty that goes beyond mere concerns of social connectedness.",2019,,Front Psychol,10,,1740,,10.3389/fpsyg.2019.01740,31456707,#4,Höhne 2019,"",""
"Threats to Belonging, Immune Function, and Eating Behavior: an Examination of Sex and Gender Differences.",Jaremka LM; Lebed O; Sunami N,"PURPOSE OF REVIEW: The first goal of this review is to discuss the evidence linking belonging threats to immune function and food intake. The second goal is to evaluate whether the links among belonging threats, immune function, and eating behavior differ based on gender. RECENT FINDINGS: Threats to belonging are linked to elevated herpesvirus antibody titers, dysregulated appetite-relevant hormones, and increased food consumption. Furthermore, these relationships are largely consistent for both men and women. Threats to belonging are also linked to elevated inflammation. However, some studies showed that these effects were stronger among women, others demonstrated that they were stronger among men, and others determined that the links were consistent for men and women. Understanding why belonging threats are inconsistently linked to inflammation across men and women is an important next step. We conclude the review with four concrete recommendations for researchers studying belonging threats, immune function, and eating behavior.",2018,Aug,Curr Psychiatry Rep,20,9,71,,10.1007/s11920-018-0939-2,30094481,#5,Jaremka 2018,"",""
Institutional Culture of Belonging and Attrition Risk Among Women Health Care Professionals.,Schaechter JD; Starr JR; Silver JK,"Objective: Attrition of women health care professionals is high, threatening patient care and advances in health care sciences. Women health care professionals have often reported experiencing challenges in the workplace that lower their sense of belonging and may precipitate their attrition. The current study sought to identify dimensions of workplace belonging in women health care professionals and to determine the relative strength of association of these belonging dimensions with intent to leave (ITL) their institution. Methods: Attendees of a continuing education course on women's leadership skills in health care were surveyed about their ITL and workplace belonging experiences. Dimensions of workplace belonging were identified by factor analysis. The strength of association between ITL and each workplace belonging dimension, as well as their relative strengths of association, were assessed in ordinal regression analyses. Results: Women comprised 99% of survey participants. Three dimensions of workplace belonging were identified: ""institutional culture,"" ""interactions with supervisor,"" and ""interpersonal relationships."" More frequent experiences of support in any of the three belonging dimensions associated strongly with lower ITL. When all three belonging dimensions were considered simultaneously, ITL remained strongly related with experiences of a supportive ""institutional culture"" (odds ratio 0.41, p < 0.0001), while it became much less strongly related with supportive experiences in the other two dimensions. Conclusions: These findings suggest a dominant role of institutional culture in attrition risk in women health care professionals. Interventions that foster an institutional culture of diversity, opportunities for career advancement, and inclusivity might be effective in improving retention of women health care professionals.",2024,Dec,J Womens Health (Larchmt),33,12,1645-1655,,10.1089/jwh.2024.0321,39311809,#6,Schaechter 2024,"",""
"Unpacking the Social Constructs of Discrimination, Othering, and Belonging in Medical Schools.",Anjorin O; Busari JO,"ISSUE: Triggered by the lived experiences of the authors-one junior career, female, and black; the other senior career, male, and black-we provide a critical, sociological overview of the plight of racial/ethnic minority students in medical education. We analyze the concepts of categorization, othering, and belonging in medical education, which we use to shed light on the psychological and academic consequences of overgeneralizing social categories. EVIDENCE: The ability to categorize people into different social groups is a natural, subconscious phenomenon. Creating social groups is believed to aid people in navigating the world. This permits people to relate to others based on assumed opinions and actions. Race and gender are two primary dimensions of categorization, with race or ethnicity being a particularly salient category. However, over-generalization of social categories can lead the categorizer to think, judge, and treat themselves and members of a perceived group similarly, leading to prejudice and stereotyping. Social categorization also occurs in educational settings across the globe. The consequences of categorization may influence a student's feelings of belonging and academic success. IMPLICATIONS: Our analysis reflects on how to promote equitable opportunities for ethnic minority medical trainees through the lens of those who have experienced and succeeded in an inequitable system. By revisiting the social and psychological constructs that determine and influence the academic progress and success of minority students in medical education, we discovered that more engagement is (still) needed for critical discourse on this topic. We expect such conversations to help generate new insights to improve inclusion and equity in our educational systems.",2024,Oct-Dec,Teach Learn Med,36,5,660-668,,10.1080/10401334.2023.2230211,37424255,#7,Anjorin 2024,"",""
"Tools for Discussing Identity and Privilege Among Medical Students, Trainees, and Faculty.",Chow CJ; Case GA; Matias CE,"INTRODUCTION: Physicians and students of all backgrounds should be prepared to interact with patients of various socioeconomic, racial, ethnic, gender, religious, and sexual orientation identities. The approach described here emphasizes how important it is for physicians and physicians-in-training to develop self-awareness before engaging with patients. METHODS: Over the course of 6 months, we conducted workshops on identity awareness for four groups: (1) fourth-year medical students (N = 6), (2) first-year medical students (N = 88), (3) faculty and staff (N = 11), and (4) residents/fellows (N = 4). Exercises in this workshop prompted learners to reflect on the development of social and professional identities through the use of an identity wheel activity, a group reading about professional identity formation, and a hands-on activity modeling social inequity. RESULTS: Our analysis of responses to pre- and postsurveys indicated that learners in the first-year medical student group (N = 88) experienced increased awareness and acknowledgment of social identity, professional identity, professional relationships, and the concepts of privilege and difference following participation in this workshop. DISCUSSION: These exercises guide learners toward critical thinking about privilege and identity to better prepare them for culturally inclusive patient interactions. These materials can be used with physicians at various levels of training. The earlier they are used, the more time learners will have to reflect on social and professional identities before interacting with patients.",2019,Dec,MedEdPORTAL,15,,10864,,10.15766/mep_2374-8265.10864,32051847,#8,Chow 2019,"",""
Changing Social Contexts to Foster Equity in College Science Courses: An Ecological-Belonging Intervention.,Binning KR; Kaufmann N; McGreevy EM; Fotuhi O; Chen S; Marshman E; Kalender ZY; Limeri LB; Betancur L; Singh C,"In diverse classrooms, stereotypes are often ""in the air,"" which can interfere with learning and performance among stigmatized students. Two studies designed to foster equity in college science classrooms (Ns = 1,215 and 607) tested an intervention to establish social norms that make stereotypes irrelevant in the classroom. At the beginning of the term, classrooms assigned to an ecological-belonging intervention engaged in discussion with peers around the message that social and academic adversity is normative and that students generally overcome such adversity. Compared with business-as-usual controls, intervention students had higher attendance, course grades, and 1-year college persistence. The intervention was especially impactful among historically underperforming students, as it improved course grades for ethnic minorities in introductory biology and for women in introductory physics. Regardless of demographics, attendance in the intervention classroom predicted higher cumulative grade point averages 2 to 4 years later. The results illustrate the viability of an ecological approach to fostering equity and unlocking student potential.",2020,Sep,Psychol Sci,31,9,1059-1070,,10.1177/0956797620929984,32845825,#9,Binning 2020,"",""
"Beliefs in ""Brilliance"" and Belonging Uncertainty in Male and Female STEM Students.",Deiglmayr A; Stern E; Schubert R,"A wide-spread stereotype that influences women's paths into STEM (or non-STEM) fields is the implicit association of science and mathematics with ""male"" and with requiring high levels of male-associated ""brilliance."" Recent research on such ""field-specific ability beliefs"" has shown that a high emphasis on brilliance in a specific field goes along with a low share of female students among its graduates. A possible mediating mechanisms between cultural expectations and stereotypes on the one hand, and women's underrepresentation in math-intensive STEM fields on the other hand, is that women may be more likely than men to feel that they do not belong in these fields. In the present study, we investigated field-specific ability beliefs as well as belonging uncertainty in a sample of n = 1294 male and female university students from five STEM fields (Mathematics, Physics, Computer Science, Electrical Engineering, and Mechanical Engineering) at a prestigious technical university in Switzerland. Field-specific ability beliefs of both men and women emphasized brilliance more in more math-intensive fields (Mathematics, Physics) than in less math-intensive fields (Engineering). Women showed higher beliefs in brilliance than men did, and also reported higher levels of belonging uncertainty. For both genders, there was a small, positive correlation (r = 0.19) of belief in brilliance and belonging uncertainty. A relatively small, but significant portion of the effect of gender on belonging uncertainty was mediated by women's higher belief in brilliance.",2019,,Front Psychol,10,,1114,,10.3389/fpsyg.2019.01114,31191382,#10,Deiglmayr 2019,"",""
