Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Gender Differences in Work-Family Conflict Experiences of Faculty in Academic Medicine.,Mody L; Griffith KA; Jones RD; Stewart A; Ubel PA; Jagsi R,,2022,Jan,J Gen Intern Med,37,1,280-282,,10.1007/s11606-020-06559-7,33469767,#1,Mody 2022,"",""
Family Medicine is Not Immune to Racial and Gender Wage Gaps.,Mohammed-Strait A; Umah M,,2022,Jul-Aug,J Am Board Fam Med,35,4,870-871,,10.3122/jabfm.2022.04.220209,35896457,#2,Mohammed-Strait 2022,"",""
Family Medicine's Gender Pay Gap.,Jabbarpour Y; Wendling A; Taylor M; Bazemore A; Eden A; Chung Y,"Female physicians earn less than their male counterparts, and many explanatory factors have been offered to account for these differences. An analysis of the 2019 American Board of Family Medicine New Graduate Survey Data demonstrates that women make 16% less than men, regardless of experience or hours worked.",2022,Jan-Feb,J Am Board Fam Med,35,1,7-8,,10.3122/jabfm.2022.01.210086,35039406,#3,Jabbarpour 2022,"",""
The Career Advising Program: A Strategy to Achieve Gender Equity in Academic Medicine.,Roy B; Gottlieb AS,,2017,Jun,J Gen Intern Med,32,6,601-602,,10.1007/s11606-016-3969-7,28050753,#4,Roy 2017,"",""
Gender Differences in Work-Life Integration Among Medical Physicists.,Paradis KC; Ryan KA; Schmid S; Moran JM; Laucis AM; Chapman CH; Bott-Kothari T; Prisciandaro JI; Simiele SJ; Balter JM; Matuszak MM; Narayana V; Jagsi R,"PURPOSE: To generate an understanding of the primary concerns facing medical physicists regarding integration of a demanding technical career with their personal lives. METHODS AND MATERIALS: In 2019, we recruited 32 medical physics residents, faculty, and staff via emails to US medical physics residency program directors to participate in a 1-hour, semistructured interview that elicited their thoughts on several topics, including work-life integration. Standard techniques of qualitative thematic analysis were used to generate the research findings. RESULTS: Of the participants, 50% were women and 69% were non-Hispanic White individuals, with a mean (SD) age of 37.5 (7.4) years. They were evenly split between residents and faculty or staff. Participant responses centered around 5 primary themes: the gendered distribution of household responsibilities, the effect of career or work on home and family life, the effect of family on career or work, support and strategies for reconciling work-life conflicts, and the role of professional societies in addressing work-life integration. Participants expressed concern about the effect of heavy workloads on home life, with female respondents more likely to report carrying the majority of the household burden. CONCLUSIONS: Medical physicists experience challenges in managing work-life conflict amid a diverse array of personal and professional responsibilities. Further investigations are needed to quantitatively assess the division of work and household labor by gender in medical physics, particularly after the outbreak of the COVID-19 pandemic, but this study's qualitative findings suggest that the profession should consider ways to address root causes of work-life conflict to promote the future success and well-being of all medical physicists, and perhaps women in particular.",2021,Sep-Oct,Adv Radiat Oncol,6,5,100724,,10.1016/j.adro.2021.100724,34278052,#5,Paradis 2021,"",""
"Navigating Minority and Gender Discrimination, Substance Use Disorder, Financial Distress, and Workplace Politics: Lessons for Work-Life Wellness in Academic Medicine: Part 2 of 3.",Ahmed R; Hartwell JL; Farley H; MacRae J; Rogers DA; Lawrence EC; Brazeau CM; Park EM; Cassidy A; Hartsock J; Holmes E; Schroeder K; Barach P,,2023,,Kans J Med,16,,159-164,,10.17161/kjm.vol16.19953,37377619,#6,Ahmed 2023,"",""
Family Physician Income Disparities by Race and Gender.,Anderson A; Morgan ZJ; Olaisen RH; Bazemore A; Taylor MK; Wang T; Eden AR,"A race and gender salary gap has been well-documented throughout the U.S. economy, but little described in primary care. Using self-reported data on the most widely distributed primary care physician specialty, we reveal lower incomes and hourly wages among Black/African American and female family physicians. The clear gradient in family physician compensation by race and gender demands further study and action to better understand and address the underlying sources of these differences.",2022,Jul-Aug,J Am Board Fam Med,35,4,859-861,,10.3122/jabfm.2022.04.210472,35896453,#7,Anderson 2022,"",""
Strategies for Achieving Gender Equity and Work-Life Integration in Physician-Scientist Training.,Ghosh-Choudhary S; Carleton N; Flynn JL; Kliment CR,"Substantial gender inequities persist across academic medicine. These issues are not new: Recent evidence still points to a chilly climate for women in academic medicine, including those in physician-scientist training. The discussion for how to address gender equity and issues of work-life integration typically centers around faculty and rarely includes trainees. The authors delineate specific strategies to address gender inequity in physician-scientist training by identifying key stakeholders for implementation and proposing areas to integrate these strategies with current training timelines. Strategies discussed include multiple-role mentoring, allyship training for trainees and faculty, early implementation of professional development sessions, incorporation of childcare and family-friendly policies, and additional policies for funding bodies to prioritize gender equity practices. The goal of this article is to equip trainees and the academic community with proactive strategies to create a more equitable environment for future generations of trainees in academic medicine.",2022,Apr,Acad Med,97,4,492-496,,10.1097/ACM.0000000000004246,34292189,#8,Ghosh-Choudhary 2022,"",""
"Gender Differences in Compensation, Mentorship, and Work-Life Balance within Facial Plastic Surgery.",Lafer MP; Frants A; Zhang Y; Wang B; Lee JW,"OBJECTIVES: Our objective was to identify gender differences in work-life balance, professional advancement, workload, salary, and career satisfaction among facial plastic and reconstructive surgeons. STUDY DESIGN: Cross-Sectional Survey. METHODS: American Academy of Facial Plastic and Reconstructive Surgery (AAFPRS) members were invited by email to respond to a confidential 25-question online survey. The survey had a response rate of 12%. There were a total of 139 participants; 23 participants were in training and 116 were either board-eligible or board-certified facial plastic surgeons. Collected variables included general demographics, personal life, academic involvement, career development, workload, and career satisfaction. RESULTS: Forty percent of participants were female. Fifty-nine percent of female participants were 25-35 years old compared with 15% of male participants. The majority of male participants were over 45 years old (63%) while only 19% of female participants fell into this age category (P < .0001). Women were more likely to be in a relationship with a physician (35% vs. 19%) or non-physician full-time professional (55% vs. 31%). The vast majority of men had children (89%) while only half of women (52%) had children. On average, women with children had fewer children than men (P < .0001). No gender difference was seen with respect to working full versus part-time (P = .81). Participants were equally satisfied with a surgical career regardless of gender. CONCLUSION: Although significant progress has already been made towards closing the gender gap, gender disparities remain both professionally and personally for facial plastic surgeons. With an increasing number of women in medicine, we should continue to strive to close the gender gap. LEVEL OF EVIDENCE: 4 Laryngoscope, 131:E787-E791, 2021.",2021,Mar,Laryngoscope,131,3,E787-E791,,10.1002/lary.29007,32804423,#9,Lafer 2021,"",""
Race and Gender Disparities Among Leadership in Academic Family Medicine.,Adetoye M; Gold K,"As the United States moves closer to a majority-minority, and a nearly equal male to female population, we should see a similar shift in the composition of leadership in the workplace. Family Medicine, while attempting to close the gaps, continues to fall short in producing women and minority leaders. METHODS: The demographic traits of Association of Departments of Family Medicine (ADFM) chairs in medical education institutions in the United States and Canada were analyzed. RESULTS: The majority of those in chair positions were male (67%) and White (53%) non-Hispanic. Male chairs have been in positions significantly longer than females (average 9 years and 6 years, respectively). There was also a significant difference between chairs in public versus private schools-public, that is, chairs at public institutions had a much longer average time of 9 years in current position compared with those in private institutions had an average of 5 years. While the comparison was not significant, 46% of those that self-reported as non-White held chair positions at private schools compared with 28% of those that self-reported as White. CONCLUSIONS: Despite the availability of leadership pathways, women and underrepresented minorities continue to be underrepresented in these positions. Future research would benefit from a more extensive evaluation of different characteristics such as disability, gender identity and sexual orientation.",2022,Sep,J Am Board Fam Med,,,,,10.3122/jabfm.2022.AP.220122,36096662,#10,Adetoye 2022,"",""
