Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Towards comparable ratings: Exploring bias in German physician reviews,"Kersting, J.; Maoro, F.; Geierhos, M.","In this study, we evaluate the impact of gender-biased data from German-language physician reviews on the fairness of fine-tuned language models. For two different downstream tasks, we use data reported to be gender biased and aggregate it with annotations. First, we propose a new approach to aspect-based sentiment analysis that allows identifying, extracting, and classifying implicit and explicit aspect phrases and their polarity within a single model. The second task we present is grade prediction, where we predict the overall grade of a review on the basis of the review text. For both tasks, we train numerous transformer models and evaluate their performance. The aggregation of sensitive attributes, such as a physician's gender and migration background, with individual text reviews allows us to measure the performance of the models with respect to these sensitive groups. These group-wise performance measures act as extrinsic bias measures for our downstream tasks. In addition, we translate several gender-specific templates of the intrinsic bias metrics into the German language and evaluate our fine-tuned models. Based on this set of tasks, fine-tuned models, and intrinsic and extrinsic bias measures, we perform correlation analyses between intrinsic and extrinsic bias measures. In terms of sensitive groups and effect sizes, our bias measure results show different directions. Furthermore, correlations between measures of intrinsic and extrinsic bias can be observed in different directions. This leads us to conclude that gender-biased data does not inherently lead to biased models. Other variables, such as template dependency for intrinsic measures and label distribution in the data, must be taken into account as they strongly influence the metric results. Therefore, we suggest that metrics and templates should be chosen according to the given task and the biases to be assessed. All rights reserved Elsevier.",2023,/,Data & Knowledge Engineering,148,,102235,,10.1016/j.datak.2023.102235,,#669,Kersting 2023,"",""
Beyond traditional interviews: Psychometric analysis of asynchronous video interviews for personality and interview performance evaluation using machine learning,"Koutsoumpis, Antonis; Ghassemi, Sina; Oostrom, Janneke K.; Holtrop, Djurre; van Breda, Ward; Zhang, Tianyi; de Vries, Reinout E.","With the advent of new technology, traditional job interviews have been supplemented by asynchronous video interviews (AVIs). However, research on psychometric properties of AVIs is limited. In this study, 710 participants completed a mock AVI responding to eight personality questions (Extraversion, Conscientiousness). We collected self- and observer reports of personality, interview performance ratings, attractiveness, and AVI meta-information (e.g., professional attire, audio quality). Then, we automatically extracted the words, facial expressions, and voice characteristics from the videos and trained machine learning models to predict the personality traits and interview performance. Our algorithm explained substantially more variance in observer reports of Extraversion and Conscientiousness (average R2 = 0.32) and interview performance (R2 = 0.44), than self-reported Extraversion and Conscientiousness (average R2 = 0.12). Consistent with Trait Activation Theory, the explained variance in personality traits increased when participants responded to trait-relevant, compared to trait-irrelevant, questions. The test-retest reliability of our algorithm was somewhat stable over a time period of seven months, but lower than desired reliability standards in personnel selection. We examined potential sources of bias, including age, gender, and attractiveness, and found some instances of algorithmic bias (e.g., gender differences were often amplified in favor of women). © 2024 The Authors",2024,,Computers in Human Behavior,154,,,,10.1016/j.chb.2023.108128,,#671,Koutsoumpis 2024,"",""
Assessing fairness in machine learning models: A study of racial bias using matched counterparts in mortality prediction for patients with chronic diseases,"Wang, Y.; Wang, L.; Zhou, Z.; Laurentiev, J.; Lakin, J.R.; Zhou, L.; Hong, P.","ObjectiveExisting approaches to fairness evaluation often overlook systematic differences in the social determinants of health, like demographics and socioeconomics, among comparison groups, potentially leading to inaccurate or even contradictory conclusions. This study aims to evaluate racial disparities in predicting mortality among patients with chronic diseases using a fairness detection method that considers systematic differences.MethodsWe created five datasets from Mass General Brigham's electronic health records (EHR), each focusing on a different chronic condition: congestive heart failure (CHF), chronic kidney disease (CKD), chronic obstructive pulmonary disease (COPD), chronic liver disease (CLD), and dementia. For each dataset, we developed separate machine learning models to predict 1-year mortality and examined racial disparities by comparing prediction performances between Black and White individuals. We compared racial fairness evaluation between the overall Black and White individuals versus their counterparts who were Black and matched White individuals identified by propensity score matching, where the systematic differences were mitigated.ResultsWe identified significant differences between Black and White individuals in age, gender, marital status, education level, smoking status, health insurance type, body mass index, and Charlson comorbidity index (p-value p = 0.043), in the CKD cohort for insurance type (p = 0.005) and education level (p = 0.016), and in the dementia cohort for body mass index (p = 0.041); with no significant differences for other covariates. When examining mortality prediction models across the five study cohorts, we conducted a comparison of fairness evaluations before and after mitigating systematic differences. We revealed significant differences in the CHF cohort with p-values of 0.021 and 0.001 in terms of F1 measure and Sensitivity for the AdaBoost model, and p-values of 0.014 and 0.003 in terms of F1 measure and Sensitivity for the MLP model, respectively.Discussion and conclusionThis study contributes to research on fairness assessment by focusing on the examination of systematic disparities and underscores the potential for revealing racial bias in machine learning models used in clinical settings. All rights reserved Elsevier.",2024,/,Journal of Biomedical Informatics,156,,104677,,10.1016/j.jbi.2024.104677,,#673,Wang 2024,"",""
Exploring the Impact of Digital Competence and Technology Acceptance on Academic Performance in Physical Education and Sports Science Students,"Rodafinos, A.; Barkoukis, V.; Tzafilkou, K.; Ourda, D.; Economides, A.; Perifanou, M.","Aim/Purpose This study aims to examine the influence of digital competences, technology acceptance, and individual factors (gender and educational level) on academic achievement in Physical Education and Sports Science (PESS). Background Prior research has established a positive correlation between digital competences and performance, but the mediating role of technology acceptance remains unclear. Furthermore, there is no evidence in the literature about this relationship among students pursuing degrees in PESS. Methodology A survey was administered to 344 students pursuing degrees in PESS. The Students' Digital Competence Scale (SDiCoS) measured digital competences, while the Technology Acceptance Model (TAM) assessed technology acceptance. Academic performance was evaluated based on students' GPAs. Contribution This paper investigated the role of digital competence within the TAM framework and its influence on academic performance. We propose that digital competence variables positively impact students' intention to use digital tools for learning. This aligns with TAM principles, where intention and attitude toward technology predict its actual use. Our findings further strengthen the understanding of TAM by confirming strong connections between perceived ease of use, perceived usefulness, and attitude toward technology. Additionally, the study suggests that digital competence and frequent device usage patterns might be more prevalent in postgraduate education. Findings The investigation supports the link between digital competences and technology acceptance in PESS students. Specifically, TAM variables, particularly attitudes and intentions regarding technology use, significantly predicted these students' academic performance. Interestingly, no direct association was found between SDiCoS digital competences and academic performance. Digital competence variables were positively associated with students' intention to use digital tools for learning. Gender differences emerged, with females reporting higher academic performance and proficiency in Communicate, Collaborate, and Share (CCS) competences. Furthermore, postgraduate students reported digital competences, higher academic performance, stronger intentions to use technology, and more frequent utilization of laptops/tablets. Recommendations for Practitioners Educators, administrators, and policymakers should consider targeted interventions and curriculum development to enhance academic performance in the fields of physical education and sports science. Specifically, strategies should focus on fostering digital competences in areas relevant to the field while addressing gender-specific needs. Recommendations for Researchers Future research should further explore the nuanced relationship between digital competences, technology acceptance, and academic performance, with a focus on refining the predictive efficacy of TAM variables and examining the role of individual factors, such as motivation and self-efficacy. Impact on Society The findings have implications for improving academic outcomes in PESS, ultimately contributing to the development of a highly skilled and technology-literate workforce in this field. Future Research Future research should examine the specific mechanisms through which digital competences and technology acceptance influence academic performance to develop effective interventions and strategies.",2024,/,Journal of Information Technology Education: Research,23,,1-25,,10.28945/5309,,#674,Rodafinos 2024,"",""
Ten questions in sports engineering: technology in elite women’s football,"Okholm Kryger, Katrine; Thomson, Athol; Tang, Alicia; Brown, Nicola; Bruinvels, Georgie; Rosenbloom, Craig; Carmody, Sean; Williamson, Leah; Datson, Naomi; Jobson, Elena; Mehta, Ritan","The use of technology in football is increasing, although, products predominantly focus on men’s football in performance, safety, comfort, and fit considerations. A recent scoping review identified just 32 published scientific articles on technology in women’s football, despite demands of those playing/working in the women’s game increasing. We wish to highlight the progressions made so far and barriers remaining in the elite women’s football technology to shed a light on this topic and prod researchers and manufacturers to help support the evolution of women’s-football-focussed technological considerations. The ten questions presented in this paper address the generic question on whether women’s specific tailoring is needed (Question 1) as well as addressing specific questions on football technology and engineering, such as the progressions made and ongoing issues in the following areas: football kits, religious considerations (hijab designs), sports bras, football boots, balls, football pitches, performance tracking devices, menstrual cycle tracking devices (Question 2–10). It is evidence that certain areas have received more attention than others and with these ten questions we hope to steer readers towards research and engineering gaps for future work. © 2022, International Sports Engineering Association.",2022,,Sports Engineering,25,1,,,10.1007/s12283-022-00384-3,,#675,OkholmKryger 2022,"",""
Performance analysis of machine learning algorithms and screening formulae for β-thalassemia trait screening of Indian antenatal women,"Das, R.; Saleh, S.; Nielsen, I.; Kaviraj, A.; Sharma, P.; Dey, K.; Saha, S.","Background Currently, more than forty discrimination formulae based on red blood cell (RBC) parameters and some supervised machine learning algorithms (MLAs) have been recommended for β-thalassemia trait (BTT) screening. The present study was aimed to evaluate and compare the performance of 26 such formulae and 13 MLAs on antenatal woman data with a recently developed formula SCSBTT, which is available for evaluation in over seventy countries as an Android app, called SUSOKA[16]. Methods A diagnostic database of 2942 antenatal females were collected from PGIMER, Chandigarh, India and was used for this analysis. The data set consists of hypochromic microcytic anemia, BTT, Hemoglobin E trait, double heterozygote for Hemoglobin S and BTT, heterozygote for Hemoglobin D Punjab and normal subjects. Performance of the formulae and the MLAs were assessed by Sensitivity, Specificity, Youden's Index, and AUC-ROC measures. A final recommendation was made from the ranking obtained through two Multiple Criteria Decision-Making (MCDM) techniques, namely, Simultaneous Evaluation of Criteria and Alternatives (SECA) and TOPSIS.ResultsIt was observed that Extreme Learning Machine (ELM) and Gradient Boosting Classifier (GBC) showed maximum Youden's index and AUC-ROC measures compared to all discriminating formulae. Sensitivity remains maximum for SCSBTT. K-means clustering and the ranking from MCDM methods show that SCSBTT, Shine & Lal and Ravanbakhsh-F4 formula ensures higher performance among all formulae. The discriminant power of some MLAs and formulae was found considerably lower than that reported in original studies. Conclusion Comparative information on MLAs can aid researchers in developing new discriminating formulae that simultaneously ensure higher sensitivity and specificity. More multi-centric verification of the formulae on heterogeneous data is indispensable. SCSBTT and Shine & Lal formula, and ELM and GBC are recommended for screening BTT based on MCDM. SCSBTT can be used with certainty as a tangible cost-saving screening tool for mass screening for antenatal women in India and other countries. All rights reserved Elsevier.",2022,/,International Journal of Medical Informatics,,,104866,,10.1016/j.ijmedinf.2022.104866,,#676,Das 2022,"",""
"Women’s body armor: A comprehensive review of design, performance, and ergonomics","Bhatia, Dinesh; Jaswal, Priya; Sinha, S.K.","This paper highlights a comprehensive review of the design, performance, and ergonomics of women’s body armor. Body armor is an essential part of defending people in high-risk areas, such as law enforcement officers, military personnel, and security employees. Traditional body armor, however, has typically been designed with male users in mind, ignoring the anatomical and physiological variations between men and women. This review intends to draw attention to the problems with women’s body armor and offer information on new developments made to solve these problems. It addresses several topics, including anatomical and physiological differences, challenges and limitations of traditional female body armor, materials used for female body armor, design considerations for female body armor, performance evaluation, and future directions and recommendations. © The Author(s) 2024.",2024,,Journal of Engineered Fibers and Fabrics,19,,,,10.1177/15589250241232151,,#677,Bhatia 2024,"",""
Transfer learning for the generalization of artificial intelligence in breast cancer detection: a case-control study,"Africano, Gerson; Arponen, Otso; Rinta-Kiikka, Irina; Pertuz, Said","Background: Some researchers have questioned whether artificial intelligence (AI) systems maintain their performance when used for women from populations not considered during the development of the system. Purpose: To evaluate the impact of transfer learning as a way of improving the generalization of AI systems in the detection of breast cancer. Material and Methods: This retrospective case-control Finnish study involved 191 women diagnosed with breast cancer and 191 matched healthy controls. We selected a state-of-the-art AI system for breast cancer detection trained using a large US dataset. The selected baseline system was evaluated in two experimental settings. First, we examined our private Finnish sample as an independent test set that had not been considered in the development of the system (unseen population). Second, the baseline system was retrained to attempt to improve its performance in the unseen population by means of transfer learning. To analyze performance, we used areas under the receiver operating characteristic curve (AUCs) with DeLong's test. Results: Two versions of the baseline system were considered: ImageOnly and Heatmaps. The ImageOnly and Heatmaps versions yielded mean AUC values of 0.82±0.008 and 0.88±0.003 in the US dataset and 0.56 (95% CI=0.50–0.62) and 0.72 (95% CI=0.67–0.77) when evaluated in the unseen population, respectively. The retrained systems achieved AUC values of 0.61 (95% CI=0.55–0.66) and 0.69 (95% CI=0.64–0.75), respectively. There was no statistical difference between the baseline system and the retrained system. Conclusion: Transfer learning with a small study sample did not yield a significant improvement in the generalization of the system. © The Foundation Acta Radiologica 2023.",2024,,Acta Radiologica,65,4,334-340,,10.1177/02841851231218960,,#678,Africano 2024,"",""
Understanding latent affective bias in large pre-trained neural language models,"Kadan, A.; P., D.; Bhadra, S.; P. Gangan, M.; V.l., L.","Groundbreaking inventions and highly significant performance improvements in deep learning based Natural Language Processing are witnessed through the development of transformer based large Pre-trained Language Models (PLMs). The wide availability of unlabeled data within human generated data deluge along with self-supervised learning strategy helps to accelerate the success of large PLMs in language generation, language understanding, etc. But at the same time, latent historical bias/unfairness in human minds towards a particular gender, race, etc., encoded unintentionally/intentionally into the corpora harms and questions the utility and efficacy of large PLMs in many real-world applications, particularly for the protected groups. In this paper, we present an extensive investigation towards understanding the existence of ""Affective Bias"" in large PLMs to unveil any biased association of emotions such as anger, fear, joy, etc., towards a particular gender, race or religion with respect to the downstream task of textual emotion detection. We conduct our exploration of affective bias from the very initial stage of corpus level affective bias analysis by searching for imbalanced distribution of affective words within a domain, in large scale corpora that are used to pre-train and fine-tune PLMs. Later, to quantify affective bias in model predictions, we perform an extensive set of class-based and intensity-based evaluations using various bias evaluation corpora. Our results show the existence of statistically significant affective bias in the PLM based emotion detection systems, indicating biased association of certain emotions towards a particular gender, race, and religion. All rights reserved Elsevier.",2024,/,Natural Language Processing Journal,7,,100062,,10.1016/j.nlp.2024.100062,,#679,Kadan 2024,"",""
Evaluation of mental workload in haptic-enabled virtual assembly training operations,"Macias-Velasquez, S.; Medellin-Castillo, H.I.; Garcia-Barrientos, A.","The use of virtual reality (VR) technologies in the industry has considerably increased in the last years aiming to digitalize, simulate, and optimize processes. However, although the industrial integration of VR has several technical benefits, it may deviate from real-world demands, potentially outperforming human capabilities. In industrial VR research, there is still a lack of awareness of human aspects, and technical aspects are prioritized over user needs. Consequently, large research gaps about the effect of VR systems on the human factor need to be filled in order to know and enhance the user's well-being and experience. Hence, this research aims to investigate the effect of operating a haptic-enabled VR system for industrial assembly training on the mental workload experienced by new users. A random sample of ninety participants was selected to carry out virtual assembly training. Three sets of training durations were selected and evaluated separately: 1, 2, and 3 h. The mental workload was assessed in each of these training durations. The results have demonstrated that the training duration has a small effect on the workload experienced by new users during their first virtual assembly training. In addition, although the workload levels are not very high, females and males experience different workload levels. The research findings fill some of the existing research gaps and can be useful in promoting the long-term mental well-being of workers when implementing VR technologies in the industry.",2024,/,International Journal of Advanced Manufacturing Technology,132,11-12,5395-5406,,10.1007/s00170-024-13691-9,,#680,Macias-Velasquez 2024,"",""
