Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Adolescence Does Not Divert Sex Offending Adolescents of Color from Criminal Legal System Involvement.,Stevenson MC; Picot CR; Rivers MA,"After the United States Civil War, during Reconstruction, Southern states targeted Black youth and men for incarceration and forced labor, often charging them with rape, spawning the Black male rapist myth. This study explores evidence of a Reconstruction-era ethos in present-day treatment of youth of color accused of sexual assault. Specifically, we examined effects of perpetrator age and race on legal outcomes in 382 alleged child sexual abuse cases. There were 291 adult perpetrators (91% men, M age = 34; 76% White, 20% Black, 2% biracial, 2% Latinx, and 1% Asian) and 91 adolescent perpetrators (96% boys, M age = 14; 73% White, 22% Black, 4% biracial, and 1% Latinx). Supporting hypotheses, adolescent (vs. adult) perpetrators were less frequently arrested or referred for prosecution-but only when they were White. In contrast, for perpetrators of color, being an adolescent (vs. an adult) did not reduce arrest or prosecutorial referral likelihood. Additionally, cases involving adolescents of color (vs. White adolescents) were more immediately criminally investigated. Thus, youthfulness does not proffer protection from criminal legal system involvement for adolescents of color accused of sex offending-evidence of modern and persistent racism rooted in a nation's past.",2025,Jan,Child Maltreat,,,10775595251314173,,10.1177/10775595251314173,39813687,#1,Stevenson 2025,"",""
"Sex discrimination, sexual harassment, and sexual assault in UK radiology training: a national survey.",Robinson E; Singhal P; Loughborough W; Little D,"AIM: Sex discrimination and sexual misconduct are endemic issues within the National Health Service (NHS). The extent of the problem amongst radiology registrars across the UK is unknown. This national survey explores the experiences of radiology registrars in relation to sex discrimination, sexual harassment, and sexual assault during radiology training, in addition to the impact on wellbeing and barriers to reporting behaviours. MATERIALS AND METHODS: This observational study using qualitative data from distribution of a national survey with ethical approval. RESULTS: 122 responses were received. A significantly increased proportion of females have witnessed or experienced sex discrimination and sexual harassment compared to males (p < 0.05). A greater proportion of females also experienced sexual assault however the numbers are low and not statistically significant. The majority of perpetrators (58%) were senior colleagues both from within and outside of the radiology team (including radiology supervisors). 21% of perpetrators were patients. 72% of radiology registrars who experienced sex discrimination, harassment and/or assault were not happy with the way in which their situation was dealt with. 68% were not aware of a pathway in place for reporting such behaviours. CONCLUSION: Sex discrimination and sexual harassment and assault have been experienced widely by radiology registrars, disproportionately affecting women. There are significant barriers to reporting these issues especially given most perpetrators are senior colleagues. We call upon responsible organisations to create a safe working environment for all, including implementing new pathways for reporting, developing training, and considering safety measures such as enhanced use of chaperones.",2025,Jan,Clin Radiol,80,,106717,,10.1016/j.crad.2024.09.023,39504891,#2,Robinson 2025,"",""
The digital mirror: how generative artificial intelligence reflects and amplifies gender bias.,MacDonald JP; Pape M; Ackerman KE; Carneiro E; Huang Y; Rizzone KH; Zondi PC; Mountjoy M,,2024,Dec,Br J Sports Med,,,,,10.1136/bjsports-2024-108998,39663003,#3,MacDonald 2024,"",""
An updated examination of gender differences in sexual harassment perception: A meta-analysis and a survey study.,Zhou Y; Nguyen HD; Revier MS; Krueger KR; Sackett PR,"Twenty years ago, Rotundo et al. (2001) meta-analyzed the gender differences in sexual harassment (SH) perception. They found an overall d of 0.30: Women are more likely than men to label certain behaviors as SH. Much has changed since then, including the increased social awareness and the prevalence of SH training. Given the prevalence of SH in the workplace and the importance of SH perception in SH research, we conducted a mixed-methods research program to explore possible changes in the gender gap. In Study 1 (k = 72, N = 27,767), we meta-analyzed the perceptual gender differences to compare with those in Rotundo et al. and examined several moderators of the differences. We found an overall mean d of 0.33, implying a similar gender gap in SH perception as 20 years ago, yet none of the moderators examined in this study showed significant results. In Study 2, we empirically examined gender differences in mean levels of SH perception using the same measurement scales used in two older studies and compared with the differences found in these two studies. We found higher levels of SH perception for both men and women, but no difference in the mean d between men and women, suggesting that no change over time in mean d does not mean no change in SH perception. The implications of our findings are discussed. (PsycInfo Database Record (c) 2024 APA, all rights reserved).",2024,Dec,J Occup Health Psychol,29,6,373-408,,10.1037/ocp0000391,39699626,#4,Zhou 2024,"",""
State-level structural sexism and adolescent sexual violence victimization in the US.,Lee H,"BACKGROUND: Adolescent sexual violence victimization is a significant public health issue in the United States. Structural sexism, a form of gender inequality at the societal level, may play a crucial role in influencing the prevalence of sexual violence victimization among adolescents. OBJECTIVE: This study aims to examine the association between state-level structural sexism and sexual violence victimization among adolescents and to explore how this relationship varies between male and female adolescents. PARTICIPANTS AND SETTING: Data was derived from a nationally representative sample of high school students in grades 9-12 across the United States who participated in the Youth Risk Behavior Surveillance System (YRBS) in 2017 and 2019. METHODS: A state-level structural sexism index was created from nine different items to reflect the multidimensional nature of structural sexism. This study employs multi-level regression analysis to investigate the impact of state-level structural sexism on three types of sexual violence victimization: sexual violence, sexual dating violence, and physical dating violence. RESULTS: This study revealed a significant interaction between structural sexism and gender. In states with higher levels of structural sexism, female adolescents reported increased likelihood of sexual violence (β = 0.013, p < .001), sexual dating violence (β = 0.006, p < .001), and physical dating violence (β = 0.006, p < .001) compared to males. Conversely, male adolescents in these states reported lower rates of victimization. CONCLUSIONS: The results underscore the role of structural sexism in influencing sexual violence victimization among adolescents. Addressing structural sexism may be essential in mitigating the risk of sexual violence victimization, especially for female adolescents.",2024,Dec,Child Abuse Negl,158,,107096,,10.1016/j.chiabu.2024.107096,39423595,#5,Lee 2024,"",""
"Association between adverse childhood experiences and obesity, and sex differences: A systematic review and meta-analysis.",Zhou Y; Sun Y; Pan Y; Dai Y; Xiao Y; Yu Y,"BACKGROUND: Obesity is one of the most common health problems worldwide. Although studies have reported associations between adverse childhood experiences (ACEs) and obesity, specific subtype associations and sex differences are unclear. OBJECTIVE: To systematically evaluate the association between ACEs and adult obesity risk and sex differences. METHODS: Five databases, PubMed, Web of Science, Cochrane Library, Embase, and PsycINFO, were searched with a June 10, 2024 deadline. Included studies investigated the association between at least one ACE and obesity. Two researchers independently assessed the risk of bias using the Newcastle-Ottawa Scale (NOS) and its adaptations and extracted relevant characteristics and outcomes. Statistical analyses were performed using STATA 17.0, including random effects models, heterogeneity tests, sensitivity analyses, publication bias assessments, Meta-regression analyses, and subgroup analyses. Dose-response analyses revealed potential trends between different levels of abuse and risk of obesity. RESULTS: The meta-analysis included 46 studies and showed a notable increased risk of obesity in adults experiencing ACEs (OR: 1.48, 95% CI: 1.38-1.59). Subgroup analyses showed significantly increased risk in Europe and North America, with significant increases observed in both developed and developing countries. Prospective, retrospective, and cross-sectional studies showed strong associations. Different types of ACEs (physical, sexual, psychological, and non-physical, psychological, or sexual abuse) were linked to a higher obesity risk. Sex difference analyses showed that females faced a greater risk when experiencing physical (OR: 1.606), sexual (OR: 1.581), and non-physical, psychological, or sexual (OR: 1.319) abuse; males exhibited increased risk only with non-physical, psychological, or sexual abuse (OR: 1.240). Dose-response analyses indicated that a higher number of ACEs was associated with an increased risk of obesity in adults. CONCLUSIONS: ACEs significantly increase the risk of adult obesity, with consistent findings across geographic regions, levels of economic development, and types of study design. Sex difference analysis indicates that females are particularly affected. Future research should prioritize including studies from underrepresented geographic areas to enhance understanding of the global impact of ACEs on obesity risk. Additionally, strengthening child protection and intervention efforts is crucial to mitigate the adverse effects of ACEs on adult health.",2024,Dec,J Psychiatr Res,180,,56-67,,10.1016/j.jpsychires.2024.09.042,39378571,#6,Zhou 2024,"",""
Prevalence of trauma exposure and PTSD symptoms among the Icelandic population: gender and regional differences.,Einarsdottir TS; Asgeirsdottir BB; Sigurvinsdottir R; Ullman SE; Gudmundsdottir B,"AIM: The primary aim of this cross-sectional study was to provide descriptive data about the lifetime prevalence of trauma exposure with a particular focus on sexual violence and natural disasters and to assess the prevalence of symptoms of post-traumatic stress disorder (PTSD) in the Icelandic population. In addition, the aim was to investigate whether PTSD symptoms, trauma types and prevalence differed by gender and geographical location. METHOD: A representative sample of the population between the ages of 18 and 80 years was randomly selected from the Icelandic National Registrar. The study included a total of 1766 participants consisting of 930 (52.7%) women and 836 (47.3%) men, with an overall mean age of 49.9 years (standard deviation 16.1). Participants were contacted by phone and asked questions from the Lifetime Events Checklist (LEC-5) to assess lifetime exposure to traumatic events. Individuals who had experienced traumatic events completed the PTSD Checklist for DSM-5 (PCL-5) to assess PTSD symptoms. RESULTS: Exposure to trauma is common among the Icelandic population, with 84.3% of the participants experiencing at least one kind of trauma. Of those exposed to trauma, 10.5% fulfilled criteria indicating a higher risk of PTSD. The prevalence of sexual violence and other unwanted sexual experiences was relatively high (16.2% and 24.4%, respectively) compared with other national studies. Women were almost four times more likely than men to have been exposed to sexual violence (24.9% vs 6.4%), and were more likely to have been exposed to other unwanted sexual experience (35.1% vs 12.4%, respectively). Exposure to natural disasters is frequent but with great geographical variation. CONCLUSIONS: This study highlights the high prevalence of trauma in Iceland, revealing significant gender disparities in sexual violence and geographical variations in natural disaster exposure.",2024,Dec,Scand J Public Health,52,8,968-977,,10.1177/14034948231217019,38153117,#7,Einarsdottir 2024,"",""
"Key mental health differences in conflict-related sexual violence and how sex, severity, and early intervention impact on improvement: a retrospective observational study.",Martínez Torre S; Sordo L; Sagrado Benito MJ; Llosa AE; Carrascal Maldonado A; Dazang Umar R; Usman J; Carreño Glaría C,"BACKGROUND: Conflict-related sexual violence (CRSV) is a significant health and human rights issue in humanitarian contexts, but there is a need of further research on differences between sexes in terms of severity of symptoms and improvement. Consequently, we explored the differences in severity and outcomes among male and female survivors of CRSV who received mental health and psychosocial support (MHPSS) in an armed conflict setting. METHODS: We retrospectively analysed medical records from 3442 CRSV survivors in a MHPSS programme in Borno State, Nigeria, between 2018 and 2019. Patient characteristics, severity (measured with Clinical Global Impression of Severity Scale [CGI-S scale]), and improvement (measured with Clinical Global Impression of improvement [CGI-I] scale) were assessed by an attending counsellor. We assessed predictors for severity and improvement using a multivariable logistic regression analysis and time to improvement by sex using Kaplan Meier (K-M) curves and Cox regression. RESULTS: We included 3442 patients who had at least one CRSV event in this study (2955 [85.9%] female, 486 [14.1%] male, one unknown). The most prevalent categories of symptoms were depression (49.9%; n = 1716), post-traumatic (25.6%; n = 879), and anxiety (20.3%; n = 697) symptoms. Most patients had mild (59.0%; n = 1869/3170) or moderate (36.4%; n = 1153/3170) symptoms at baseline, with 4.7% having severe symptoms (n = 148/3170). The logistic regression analysis (n = 1106), showed male patients had a 59% higher odds of severe symptoms at baseline than female patients (aOR 1.59; 95% CI 1.04-2.45). Among males, those older than 55 years had three times higher odds of presenting severe symptoms than younger patients (aOR 3.65; 95% CI 1.43-9.34). Women aged 36-55 years were more likely to present improvement than younger female patients (aOR 1.32; 95% CI 1.11-1.58). For both sexes, prompt attention after a CRSV event (≤ 3 days) positively predicted improvement (aOR 13.9; 95% CI 1.48-130 males, aOR 2.11; 95% CI 1.22-3.64 females) compared to late attention. Time to improvement did not differ between sexes, with an average of at least three consultations needed to achieve improvement. CONCLUSIONS: Our study suggests that psychological attention of survivors within the first 72 h should be a priority. MHPSS programmes addressing CRSV should be inclusive to all patients, and gender-neutral approaches to ensure access, safety, confidentiality, and non-discrimination for all survivors should be developed.",2024,Oct,Confl Health,18,1,61,,10.1186/s13031-024-00620-6,39415274,#8,MartínezTorre 2024,"",""
Attitudes and perceptions of undergraduate medical students about sexual harassment and gender discrimination: A survey-based study.,Kaur H; Hirmukhe M; Vaidya M; Patole N; Ranalawala M; Nande P; Soni A; Bhanushali C; Dharia A; Karia S; De Sousa A,"BACKGROUND: Sexual harassment (SH) and Gender discrimination (GD) faced by medical students have been neglected areas of study in India. Only a few recent studies could be found, despite frequent media reports on SH and GD. This study aimed to assess the attitudes and perceptions of sexual harassment and gender discrimination and evaluate the forms of SH and GD experienced by them. METHODS: A Google form based mixed method survey tool was distributed amongst students of 28 medical colleges in Maharashtra. Participants were assured of confidentiality and anonymity. RESULTS: Of the 308 students who were eligible for the present study, 14.3% (44) and 26.6% (82) reported incidence of sexual harassment and gender discrimination, respectively, while 133 (43.2%) of them reported having experienced some or the other form of SH/GD. A wide range of instances of SH and GD were described by the students. CONCLUSIONS: The study highlights the need to create awareness about sexual harassment and gender discrimination amongst medical students, and to create an atmosphere where such abuses do not occur.",2024,Oct-Dec,Indian J Med Ethics,IX,4,271-277,,10.20529/IJME.2024.066,39817294,#9,Kaur 2024,"",""
Gender Differences in Sexual Violence Victimization Experiences and Validity of Victimization Reports: A Think-Aloud Study.,Jeffrey NK; Senn CY,"This study compared the qualitative nature of women and men's sexual violence (SV) victimization, the types of experiences captured and missed on the Sexual Experiences Survey-Short Form Victimization (SES-SFV) across genders, and common interpretations of the SES-SFV items. Fifty-four university students (31 women, 21 cis men, 2 trans men) who had recent unwanted (but not necessarily nonconsensual) sexual experiences thought out loud while privately completing the SES-SFV. They also typed descriptions of experiences reported on SES-SFV items or similar experiences when nothing was reported on an item. Results indicated that women's victimization was more frequent and severe than cis men's, except when men were victimized by men. Although verbal coercion was common across genders, event descriptions indicated that women's verbal coercion experiences were more often harsh and part of a partner's ongoing SV or coercive control. The findings suggest that quantitative measurement can mask important gender differences in victimization and (based on analysis of false positives and negatives) may underestimate rape and attempted rape experiences, especially women's. Findings suggested that responding to the SES-SFV was not traumatic or distressing. However, participants sometimes expressed confusion about the items and interpreted them in unintended ways.",2024,Sep,J Sex Res,,,1-17,,10.1080/00224499.2024.2397496,39250419,#10,Jeffrey 2024,"",""
