Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Lesbian and Heterosexual Women’s Implicit Responses to Gender Figures,"da Silva, José Cláudio Rodrigues; de Almeida, Rodrigo Vianna; Bortoloti, Renato","This study explored how heterosexual and lesbian women differ in their implicit sexual responses. Previous research indicates that heterosexual women have physiological and implicit responses to both genders, whereas lesbian women show stronger responses to their preferred gender. This study used two implicit measures: the Implicit Relational Assessment Procedure (IRAP) and the Function Acquisition Speed Test (FAST), both of which were novel in this context. We recruited 33 heterosexual and 25 lesbian women. Both IRAP and FAST were successful in differentiating the two sexual orientations as a group. The results confirmed that heterosexual women exhibit positive responses to both genders, while lesbian women show stronger, category-specific responses to their preferred gender. These findings align with previous research and provide further insight into the nuanced differences in sexual orientation responses among women.",2024,,Archives of Sexual Behavior,53,10,3925-3943,3132729344,https://doi.org/10.1007/s10508-024-02972-9,,#1,daSilva 2024,"",""
Assessing the impact of climate change on reproductive health: A content analysis of climate journalism coverage,"Yuvaraj, Bharath R; Masilamani, Vaageessan; Saravanan, M; Karthikeyan, Harie; Moses, Fenn; Abraham; Kumar, Ravi P; Manjula, K","This research explores the intricate relationship between climate change and reproductive health through an analysis of 1000 global news articles from 2018 onwards. Utilizing Latent Dirichlet Allocation (LDA), key topics in media coverage are identified, encompassing fertility challenges, pregnancy complications, infectious diseases, maternal and infant health in disasters, genderbased violence, healthcare access inequities, mental health impacts, and food security issues. Findings reveal an uneven distribution of coverage across continents, with potential language bias in English-dominated sources. Acknowledging limitations, future research directions emphasize a more inclusive approach, incorporating diverse linguistic perspectives and qualitative exploration of community experiences. The study underscores the imperative for global representation in media discourse and advocates for comprehensive, evidence-based strategies to address the complex interplay between climate change and reproductive health. (Afr J Reprod Health 2024; 28 [9]: 136-144).Alternate abstract:Cette recherche explore la relation complexe entre le changement climatique et la santé reproductive à travers une analyse de 1 000 articles de presse mondiaux à partir de 2018. Grâce à l'allocation de Dirichlet latente (LDA), des sujets clés de la couverture médiatique sont identifiés, englobant les problèmes de fertilité, les complications de la grossesse, les maladies infectieuses, la santé maternelle et infantile en cas de catastrophe, la violence sexiste, les inégalités d'accès aux soins de santé, les impacts sur la santé mentale et les problèmes de sécurité alimentaire. . Les résultats révèlent une répartition inégale de la couverture à travers les continents, avec un biais linguistique potentiel dans les sources à dominante anglaise. Reconnaissant les limites, les futures orientations de recherche mettent l'accent sur une approche plus inclusive, intégrant diverses perspectives linguistiques et une exploration qualitative des expériences communautaires. L'étude souligne l'impératif d'une représentation mondiale dans le discours médiatique et préconise des stratégies globales et fondées sur des preuves pour aborder l'interaction complexe entre le changement climatique et la santé reproductive. (Afr J Reprod Health 2024; 28 [9]: 136-144).",2024,,African Journal of Reproductive Health,28,9,136-144,3144392532,https://doi.org/10.29063/ajrh2024/v28i9.12,,#2,Yuvaraj 2024,"",""
"Implicit Gender Role Theory, Gender System Justification, and Voting Behavior: A Mixed-Method Study","Stanziani, Marissa; Cox, Jennifer; MacNeil, Elizabeth; Carden, Keisha","IntroductionGender roles are pervasive and impact all areas of modern society. Implicit gender role theory is one perspective on understanding individual perceptions of gender roles and how these perceptions influence behavior. This mixed-method study explored the association between implicit gender role ideology and support for “gendered legislation” (i.e., legislation with the potential to differentially impact individuals depending on their gender identity).MethodsQuantitative data (N = 558) collected from 2017 to 2018 demonstrate the association between implicit gender role ideology and six different pieces of gendered legislation. Participant individual interviews (N = 20), collected from 2017 to 2018, allowed for a more comprehensive and nuanced exploration of individual gender role attitudes and perceptions of two specific bills.ResultsIndividuals who believe gender roles are fixed and immutable are more likely to justify a patriarchal gender system and support legislation that differentially impacts individuals due to gender identity. Males are also more likely to identify with masculine traits and feel that their gender is central to their identity, while females are more likely to shed femininity in favor of agency to gain power and respect. Finally, qualitative themes highlight a general lack of nuanced understanding regarding gender roles, gender identity, sex, and sexual orientation.ConclusionMales and individuals who believe gender roles are fixed were more likely to justify a patriarchal gender system. Males, particularly those who believed gender roles are fixed, were also more likely to identify their gender as central to their identity.Policy ImplicationsRegardless of political orientation, gender role attitudes and participant sex may influence the ways in which people perpetuate or challenge the patriarchal gender system. Thus, perpetuation of the current gender system, or moving toward gender equality, may stem from interventions at the individual level.",2024,,Sexuality Research & Social Policy,21,3,1151-1170,3084984983,https://doi.org/10.1007/s13178-024-00966-9,,#3,Stanziani 2024,"",""
The Role of Feminism and Gender in Endorsement of Hookup Culture among Emerging Adults,"Martino, Rachel M.; Roberts, Savannah R.; Maheux, Anne J.; Stout, Claire D.; Choukas-Bradley, Sophia","Hookup culture has transformed the sexual behavior of emerging adults. Feminism, a movement that has advocated for liberating women from sexual repression, may be associated with hookup endorsement attitudes. This study explores the associations among multiple dimensions of feminism, gender, and hookup culture endorsement. Participants included 318 emerging adults (46% women; Mage = 22.2 years; 51% White, 27% Asian, 5% Hispanic/Latinx, 9% Black, 1% Middle Eastern, 1% American Indian, 6% Multiracial) from five Anglophone countries (62% U.S., 23% United Kingdom, 9% Canada, 5% Australia, 1% New Zealand), who completed the Feminist Beliefs and Behavior Scale and Endorsement of Hookup Culture Index via an anonymous, online survey. Participants were categorized according to their feminist identity label (feminist, non-feminist) and feminist belief system (hold feminist beliefs, hold non-feminist beliefs). A series of ANCOVAs was conducted, revealing that women who identified as feminist and/or held feminist beliefs reported significantly higher endorsement of hookup culture compared to non-feminist women with non-feminist beliefs. Neither dimension of feminism predicted hookup culture endorsement in men. When comparing feminist-identifying women and men, the gender disparity in hookup culture endorsement was eliminated. Together, these findings highlight how social movements, such as feminism, may be associated with young women’s attitudes towards hookups, and may ultimately shape their sexual experiences.",2024,,Archives of Sexual Behavior,53,5,1621-1632,3056953517,https://doi.org/10.1007/s10508-024-02841-5,,#4,Martino 2024,"",""
Essential Aspects of Gender-inclusive Computer Science Education,"SäLivin, Lisa; Öberg, Lena-Maria; Mozelius, Peter","Computer science is a higher education domain that still show a significant male dominance. Many research studies have highlighted the importance of diversity and gender balance in computer science related areas such as software engineering and system development. However, there is still a well-identified problem that university programmes and courses on computer science fail to attract the female audience. The objective of this study is to investigate the concept of gender-inclusive computer science (CS) education with the aim of broadening participation in CS courses and programs. This is conducted through a literature study, initially focusing on keywords and research areas, and subsequently searching into existing research. The research question that guided the study was: ""What concepts can be found in literature to make computer science education more gender-inclusive?"". Data were analysed thematically in a two-step analysis process inspired by the grounded theory methods of Open coding and Axial coding. Findings suggest that there is significant room for learning in this field, particularly from Critical CS education studies. The Open coding analysis showed that the findings can be categorised into eight main themes. In the Axial coding the themes were merged, refined, renamed, and centred around the main axial theme of 'Epistemological pluralism'. Other essential themes that all are related to the axial main theme were: 'Design and creativity', 'Bias awareness and ethics', 'Collaboration and communication', 'Self-regulated learning', 'Real-world applications', and 'Role models and mentorship'. The result of this study is presented through a visual model that illustrates essential aspects of inclusive computer science education. The paper also proposes various directions for future research.",2024,,International Conference on Gender Research,,,339-346,3082337761,,,#5,SäLivin 2024,"",""
Gender as a Moderator of the Double Bias of Mistakes: Knowledge Culture and Sharing Effects,"Kucharska, Wioleta; Kopytko, Aleksandra","There is no learning without mistakes. The essence of the double bias of mistakes is the contradiction between an often-declared positive attitude towards learning from mistakes, and negative experiences when mistakes occur. Financial and personal consequences, shame, and blame force desperate employees to hide their mistakes. These adverse outcomes are doubled in organizations by the common belief that managers never make mistakes, which makes the contradiction even more harmful. Double bias affected leaders select only easy tasks to secure their positions, and those who want to be promoted hide their mistakes to maintain the image of a ""perfect employee"". Avoiding the risk of failure is generally not wrong as long as doing so does not block organizational growth. It has been proven that the double bias of mistakes can present a serious hurdle for organizational learning and collective intelligence building. This study explores whether the double bias of mistakes is gender-related and how it affects tacit and explicit knowledge sharing. To do so, it is based on a sample of 183 Polish knowledge workers affected by the double bias of mistakes. The analysis method was ordinary least squares regression, which was conducted with SPSS PROCESS software. Results show that the double bias of mistakes generally causes more problems for female specialists than male specialists and more for male managers than female managers. Regarding managers, male managers probably tend to focus more on control at work. In contrast, women focus on supporting learning (they accept mistakes as a source of knowledge and share knowledge gained from them). Considering current challenges relating to collective intelligence building, women seem to have the potential to be better mentors and probably also better leaders than men. Such formulated conclusions are based on indirect inferences, so further research is necessary.",2024,,International Conference on Gender Research,,,190-199,3082337696,,,#6,Kucharska 2024,"",""
Co-creating Inclusive Intersectional Democratic Spaces across Europe (CCINDLE): Counteracting Anti-gender through Feminist Knowledge,"Lombardo, Emanuela; Caravantes, Paloma","The construction of feminist democratic societal projects relies on the production of feminist knowledge and ideas within social movements, as well as academic, professional, and institutional settings. In the context of a rising opposition against democracy and gender, race, and sexuality equality at a global level, the European Union has launched the call Feminisms for a New Age of Democracy with the purpose of supporting knowledge production about opposition to gender equality in Europe and feminist democratic responses. The CCINDLE (Co-creating Inclusive Inters ectional Democratic Spaces across Europe) project is one of the funded research projects under this call. CCINDLEs objectives include analyzing not only anti-gender politics and the problems that they create for democracy in Europe but especially feminist movements' and institutional responses to anti-gender and anti-democratic forces. The project aims to co-create feminist knowledge with the actors that are already working to counter the antidemocratic project that anti-gender movements and far right parties are trying to construct, and to envision feminist futures building on theories and practices of intersectional justice, inclusion, and participation in European democracies. Keywords: feminist knowledge, democracy, anti-gender, democratic backsliding, gender equality, feminist politics, Europe",2024,,Women's Studies Quarterly,52,1/2,145-156,3033329867,,,#7,Lombardo 2024,"",""
"‘You don’t like this blood? Well, too bad!’ Alternative cultures of menstruation and the performativity of disgust",Guilló-Arakistain Miren,"This article explores the ‘performativity of disgust’ as a feminist strategy that takes place in various instances of menstrual activism. The analysis is based on an ethnographic study in Spain, which focused on alternative politics and cultures of menstruation that question the negative hegemonic Western vision of menstruation. By analysing the debates around gender, feminism, and corporality that arise in this field, the article highlights alternative corporal and menstrual imaginaries. The article contributes to and extends critical menstruation studies by exploring how feminist activists who engage in menstrual politics produce an aesthetic of disgust by reappropriating the abject, and in so doing, question the politics of menstrual disgust and gender inequalities. Paying special attention to collective initiatives that take place in public space, viewed as a place of social transformation, the article sheds light on how challenging the notion that ‘menstruation is disgusting’ can help us question gender and social inequalities, and promote social transformation.",2024,,The European Journal of Women's Studies,31,1,104-120,3015092316,https://doi.org/10.1177/13505068241238909,,#8,Guilló-ArakistainMiren 2024,"",""
Factores predisponentes y detonantes de la violencia de género en la juventud universitaria: una revisión sistemática de la literatura de los últimos 20 años,"Tostado-Calvo, Olga; Alzás, Teresa; Yuste-Tosina, Rocío","Introducción.El sistema patriarcal está presente en todas las esferas de la sociedad. En España, la aprobación de la Ley Orgánica 1/2004 supuso un momento histórico en el abordaje de la violencia machista. Objetivo.Esta investigación persigue identificar factores predisponentes y detonantes asociados a la violencia de género en la juventud universitaria. Metodología. Se diseñó una Revisión Sistemática de la Literatura, mediante la búsqueda de estudios primarios en WoS, Scopus, Dialnet y DOAJ. La cadena de búsqueda fue Violence and (gender or sexist) and students and (university or college or higher education). Se concreta el marco temporal desde 2004 hasta la actualidad, para trazar el impacto de esta Ley Orgánica de Protección Integral contra la Violencia de Género. De los 4426 documentos del mapeo inicial, se seleccionaron 91 con garantías de calidad y que investigan la violencia de género en el ámbito de la pareja o expareja. De los 91 estudios, 34 pertenecen al ámbito español, aspecto que pone de manifiesto la creciente preocupación científica. Resultados. Se identifican cinco predisponentes (cultura patriarcal, normalización de la violencia, historia de violencia, estereotipos y presión de grupo y falta de educación en igualdad de género) y cinco detonantes (consumo de alcohol y sustancias, malestar psicológico y trayectorias académicas, celos en la relación, desafíos en la transición a la adultez e influencia de las redes sociales y la tecnología) relacionados científicamente con la violencia de género. Destaca la proliferación de estudios e instrumentos desarrollados en los últimos cinco años. Conclusiones. La escasa educación en igualdad de género constituye el principal predisponente. La prevalencia reportada evidencia la necesidad de investigar sobre las creencias y vivencias de la juventud en torno a la violencia de género, pues el detonante de influencia del avance tecnológico se transforma continuamente y se precisan conocimientos en profundidad sobre esta realidad.Alternate abstract: Introduction. The patriarchal system is present in all spheres of society. In Spain, the approval of Organic Law 1/2004 marked a historical moment in addressing gender-based violence. Aim. This research aims to identify predisposing and triggering factors associated with gender-based violence among university youth. Methodology.A Systematic Literature Review was designed by searching primary studies in WoS, Scopus, Dialnet and DOAJ. The search chain used was ""Violence and (gender or sexist) and students and (university or college or higher education)"". The time frame was set from 2004 to the present to trace the impact of this Organic Law on Comprehensive Protection Measures against Gender-Based Violence. From the initial mapping of 4426 documents, 91 were selected for their quality and focus on investigating gender-based violence in intimate partner relationships. Of these 91 studies, 34 were conducted in Spain, highlighting the growing scientific concern. Results.Five predisposing factors (patriarchal culture, normalization of violence, history of violence, stereotypes and peer pressure, and lack of gender equality education) and five triggering factors (alcohol and substance use, psychological distress and academic trajectories, jealousy in relationships, challenges in the transition to adulthood, and the influence of social networks and technology) were scientifically identified as related to gender-based violence. The proliferation of studies and instruments developed in the last five years stands out. Conclusions. The lack of education in gender equality is the main predisposing factor. The reported prevalence highlights the need to investigate the beliefs and experiences of youth regarding gender-based violence, as the technological influence trigger is continually evolving, requiring in-depth knowledge of this reality.",2024,,Investigaciones Feministas,15,1,5-18,3149525655,https://doi.org/10.5209/infe.95328,,#9,Tostado-Calvo 2024,"",""
Predicting risk of the subsequent early pregnancy loss in women with recurrent pregnancy loss based on preconception data,"Yang, Xin; Wang, Ruifang; Zhang, Wei; Yang, Yanting; Wang, Fang","BackgroundFor women who have experienced recurrent pregnancy loss (RPL), it is crucial not only to treat them but also to evaluate the risk of recurrence. The study aimed to develop a risk predictive model to predict the subsequent early pregnancy loss (EPL) in women with RPL based on preconception data.MethodsA prospective, dynamic population cohort study was carried out at the Second Hospital of Lanzhou University. From September 2019 to December 2022, a total of 1050 non-pregnant women with RPL were participated. By December 2023, 605 women had subsequent pregnancy outcomes and were randomly divided into training and validation group by 3:1 ratio. In the training group, univariable screening was performed on RPL patients with subsequent EPL outcome. The least absolute shrinkage and selection operator (LASSO) regression and multivariate logistic regression were utilized to select variables, respectively. Subsequent EPL prediction model was constructed using generalize linear model (GLM), gradient boosting machine (GBM), random forest (RF), and deep learning (DP). The variables selected by LASSO regression and multivariate logistic regression were then established and compared using the best prediction model. The AUC, calibration curve, and decision curve (DCA) were performed to assess the prediction performances of the best model. The best model was validated using the validation group. Finally, a nomogram was established based on the best predictive features.ResultsIn the training group, the GBM model achieved the best performance with the highest AUC (0.805). The AUC between the variables screened by the LASSO regression (16-variables) and logistic regression (9-variables) models showed no significant difference (AUC: 0.805 vs. 0.777, P = 0.1498). Meanwhile, the 9-variable model displayed a well discrimination performance in the validation group, with an AUC value of 0.781 (95%CI 0.702, 0.843). The DCA showed the model performed well and was feasible for making beneficial clinical decisions. Calibration curves revealed the goodness of fit between the predicted values by the model and the actual values, the Hosmer–Lemeshow test was 7.427, and P = 0.505.ConclusionsPredicting subsequent EPL in RPL patients using the GBM model has important clinical implications. Future prospective studies are needed to verify the clinical applicability.Trial registrationThis study was registered in the Chinese Clinical Trial Registry with the registration number of ChiCTR2000039414 (27/10/2020).",2024,,BMC Women's Health,24,,1-15,3079208069,https://doi.org/10.1186/s12905-024-03206-9,,#10,Yang 2024,"",""
