Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Women in Science-A Century of Innovation and Leadership.,Giannobile WV; Feine JS,,2019,Dec,J Dent Res,98,13,1405-1406,,10.1177/0022034519882004,31746686,#1,Giannobile 2019,"",""
Leadership of Black Women Faculty in Otolaryngology-More than A Rounding Error.,Flanary V; Jefferson GD; Brown DJ; Arosarena OA; Brenner MJ; Cabrera-Muffly C; Cannon TY; Faucett EA; Francis CL; Harvey E; Johnson RF; Loyo M; Nance MA; Vinson KN; Thompson DM,,2023,May,Laryngoscope,133,5,E36-E37,,10.1002/lary.30552,36625321,#2,Flanary 2023,"",""
Women in Academic Medicine and Leadership.,Abaza MM,"Women lag in leadership roles in many fields, but in academic medicine, and particularly in Otolaryngology, women are even further behind. Understanding personal and cultural biases, changing institutional and systemic practices that perpetuate the challenges, and developing and supporting individual skills will all be necessary to improve the representation of women leaders in academic medicine.",2021,Aug,Otolaryngol Clin North Am,54,4,815-821,,10.1016/j.otc.2021.05.006,34215358,#3,Abaza 2021,"",""
Misconceptions about women in leadership in academic medicine.,Hastie MJ; Lee A; Siddiqui S; Oakes D; Wong CA,"Despite progress made over the past decade, women are under-represented in positions of leadership in academic medicine. Women physicians face numerous challenges throughout their careers. Despite achieving leadership positions, women in leadership continue to experience the impact of those challenges. In this review, we describe four misconceptions about women in leadership, along with their impact and recommendations. First, we describe differences between mentorship and sponsorship, as well as their impact on attaining leadership positions. Second, the gender pay gap persists throughout women's careers, regardless of leadership positions. Third, we explore the role of self-efficacy in leadership in the context of stereotype threats. Fourth, gendered expectations of leadership characteristics place an undue burden on women, detracting from their leadership effectiveness. Organizations can address the challenges women face by creating robust mentorship and sponsorship networks, establishing transparent and equitable pay policies, promoting and normalizing a broader range of leadership styles, and improving work flexibility and support structure. Ultimately, such changes serve all members of the organization through increased retention and engagement.",2023,Jun,Can J Anaesth,70,6,1019-1025,,10.1007/s12630-023-02458-7,37193865,#4,Hastie 2023,"",""
Gender Representation and Leadership Dynamics at the American Academy of Dermatology Annual Meetings: A Retrospective Observational Study.,Almashni SY; Viveiros MD; Chirumamilla V; Schoettinger KL; Kaffenberger JA,,2024,Dec,Clin Dermatol,,,,,10.1016/j.clindermatol.2024.12.018,39708926,#5,Almashni 2024,"",""
Women physicians in academic pathology leadership.,Brown MR; Tay C; Jacobs JW; Booth GS,"OBJECTIVES: To evaluate the gender composition of departmental chairs and program leadership of Accreditation Council for Graduate Medical Education-accredited pathology residencies and American Board of Pathology-certified subspecialty fellowships across the United States. METHODS: In this cross-sectional analysis, we examined the gender of individuals holding leadership positions in academic pathology in the United States. Using publicly available online data, 2 authors independently coded perceived gender (ie, man/woman/other) with 100% concordance. RESULTS: In 144 pathology residency programs, more women hold residency program director positions (52.1% [75/144]). Among 11 pathology subspecialties, women overall hold fewer fellowship program director positions (45.0% [212/471]). Among the residency-associated pathology department chair positions identified, women hold fewer positions (31.8% [42/132]). There is some geographic variation in pathology leadership gender composition when stratified using US Census regions. CONCLUSIONS: Women in academic pathology departments are well represented in residency and overall fellowship program leadership but are underrepresented in department chair and certain pathology subspecialty leadership positions. The disproportionate number of women in department chair positions is observed across medical specialties, highlighting the need for improved gender equity among high-level academic medicine positions.",2024,Mar,Am J Clin Pathol,161,3,305-310,,10.1093/ajcp/aqad151,37961931,#6,Brown 2024,"",""
Advancing Women to Leadership Positions Through Individual Actions and Institutional Reform.,Alli A; Lin T; Thorndyke LE; Parekh R; Nunez A,"Women in medicine experience disparities in the workplace and in achieving leadership roles. They face challenges related to climate and culture, equitable compensation, work-life integration, opportunities for professional development and advancement, and occupational and systemic factors that can lead to burnout. Without specific resources to support women's development and advancement and promote conducive workplace climates, efforts to recruit, retain, and promote women physicians into leadership roles may be futile. This article is designed for 2 audiences: women physicians of all career stages, who are exploring factors that may adversely impact their advancement opportunities, and leaders in academic medicine and health care, who seek to achieve inclusive excellence by fully engaging talent. The need for greater representation of women leaders in medicine is both a moral and a business imperative that requires systemic changes. Individuals and institutional leaders can apply the practical strategies and solutions presented to catalyze successful recruitment, retention, and promotion of women leaders and widespread institutional reform.",2021,Sep,Pediatrics,148,Suppl 2,,,10.1542/peds.2021-051440D,34470879,#7,Alli 2021,"",""
Here to chair: Gender differences in the path to leadership.,Sethuraman KN; Lin M; Rounds K; Fang A; Lall MD; Parsons M; Linden JA; Gursahani K; Raukar N; Perman SM; Dobiesz VA,"OBJECTIVE: Career paths leading to department chair positions are elusive. Women represent only 11% of academic emergency department (ED) chairs. It is unclear whether the pathway to chair is different for men and women; the characteristics, achievements, and qualifications among those who become ED chairs is unknown. METHODS: This study is a cross-sectional analysis of curriculum vitae (CV) of current ED chairs in departments with Accreditation Council for Graduate Medical Education (ACGME)-accredited residency programs. Former women chairs were included due to paucity of current women chairs. Statistics were calculated using bivariate and multivariate analysis. RESULTS: Of 163 eligible chairs, 88 CV (54%) were obtained, including six former women chairs. A majority (86.4%) self-identified as White/Caucasian, 21.5% were women, 46% were chief residents, 28.4% completed additional postgraduate degrees, and 21.8% were fellowship trained. At time of chair appointment, 58% were professor rank, 53.5% held ED operations roles, and 32% served as vice chair. Women were more likely to be in educational (53% vs. 22%) versus operational (26% vs. 61%, p = 0.02) roles. Women obtained more advanced degrees (47% vs. 25%, p = 0.02), were awarded more nonfederal grants (median = 7 vs. 3, p = 0.04), and achieved more national committee leadership (median = 4 vs. 1, p = 0.02). There were no gender differences in fellowship training, awards, leadership training programs, publications, federal grants, or national/international lectures after adjusting for years in practice. CONCLUSION: While the majority of chairs held prior leadership roles in ED operations, only one in five women chairs did, suggesting gender differences in the path to chair attainment. These differences in paths may contribute to persistent gender disparities in ED chairs and may be influenced by career path choices, implicit bias, and structural barriers.",2021,Sep,Acad Emerg Med,28,9,993-1000,,10.1111/acem.14221,33511736,#8,Sethuraman 2021,"",""
Education Research: Diversity in Neurology Graduate Medical Education Leadership.,Jordan MC; Tchopev ZN; McClean JC 2nd,"BACKGROUND AND OBJECTIVES: To describe the current landscape of gender and racial diversity among adult neurology residency and fellowship program directors (PDs). Diversity in medicine affects the quality of care provided to a diverse patient population. There are efforts in nearly every field of medicine to increase the diversity of the physician workforce. While there has been improvement in some of the known disparities in medicine such as gender disparities, these disparities have persisted in more senior academic positions in medicine. METHODS: A data set was generated by the Association of American Medical Colleges for the purpose of this study using a variety of sources. The data included deidentified, person-level variables, including self-reported gender, race, or ethnicity, and the type of program for all PDs of Accreditation Council for Graduate Medical Education-accredited residencies and fellowships. This retrospective descriptive survey study sought to (1) describe the current gender and race climate of neurology PDs and (2) identify groups that may be disproportionally underrepresented in these positions compared with those in other specialties and levels of medical training. Descriptive statistics and tests of nonrandom association were performed to address the objectives. RESULTS: We found that 56.7% of residency PDs and 58% of fellowship PDs are male. The male to female ratio of PDs was similar to current neurology residents who are 53.4% male. There were significantly more female medical students (51.5%) compared with all other categories of academic rank other than neurology residency PDs (41.1%). Only 4.3% of residency PDs were Black and only 3.7% were Hispanic. There were no Black fellowship PDs, and 5.1% were Hispanic. There were significantly more non-White medical students and trainees compared with each PD group. The breakdown of gender and ethnic diversity of neurology PDs was similar to that of PDs from all residencies and fellowships. DISCUSSION: While there are many barriers to achieving diversity in medicine, program leadership in graduate medical education may be one of them. This report describes the current landscape of diversity among PDs of residency and fellowship programs in the United States. This study shows one snapshot in time, which can be used as a baseline during this era of change.",2023,Jun,Neurol Educ,2,2,e200060,,10.1212/NE9.0000000000200060,39410945,#9,Jordan 2023,"",""
Race and Gender Disparities Among Leadership in Academic Family Medicine.,Adetoye M; Gold K,"As the United States moves closer to a majority-minority, and a nearly equal male to female population, we should see a similar shift in the composition of leadership in the workplace. Family Medicine, while attempting to close the gaps, continues to fall short in producing women and minority leaders. METHODS: The demographic traits of Association of Departments of Family Medicine (ADFM) chairs in medical education institutions in the United States and Canada were analyzed. RESULTS: The majority of those in chair positions were male (67%) and White (53%) non-Hispanic. Male chairs have been in positions significantly longer than females (average 9 years and 6 years, respectively). There was also a significant difference between chairs in public versus private schools-public, that is, chairs at public institutions had a much longer average time of 9 years in current position compared with those in private institutions had an average of 5 years. While the comparison was not significant, 46% of those that self-reported as non-White held chair positions at private schools compared with 28% of those that self-reported as White. CONCLUSIONS: Despite the availability of leadership pathways, women and underrepresented minorities continue to be underrepresented in these positions. Future research would benefit from a more extensive evaluation of different characteristics such as disability, gender identity and sexual orientation.",2022,Sep,J Am Board Fam Med,,,,,10.3122/jabfm.2022.AP.220122,36096662,#10,Adetoye 2022,"",""
