Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Mentoring to address the gender gap: The Franklin Women's experience.,Georgousakis M; Vassallo A,,2023,Mar,J Med Imaging Radiat Oncol,67,2,200-202,,10.1111/1754-9485.13513,36727158,#1,Georgousakis 2023,"",""
How to plug the female mentoring gap in Latin American science.,Gould J,,2024,Apr,Nature,,,,,10.1038/d41586-024-01024-5,38589656,#2,Gould 2024,"",""
"How to improve gender equality in rheumatology: boards, mentors, and teamwork.",Altintas-Mese C; Cakan M,,2024,May,Rheumatol Int,44,5,973-974,,10.1007/s00296-023-05467-3,37714976,#3,Altintas-Mese 2024,"",""
Combined Rehabilitation and Nutritional Coaching After Cardiac Surgery: Sex Differences.,Mattioli AV; Coppi F; Pennella S; Farinetti A,,2018,Oct,Ann Thorac Surg,106,4,1265,,10.1016/j.athoracsur.2018.04.039,29763596,#4,Mattioli 2018,"",""
Women in STEM becoming independent: Great mentors make all the difference.,Van Emmenis L,"In this Viewpoint, we hear from a cross section of women, across multiple research fields, discussing their science and the process of setting up a lab as an independent researcher. As well as being able to celebrate the positives of becoming an independent researcher, we would also like to use this platform to discuss the unique challenges they face as women scientists in their respective scientific environments.",2023,Oct,J Exp Med,220,10,,,10.1084/jem.20231515,37728758,#5,VanEmmenis 2023,"",""
Gender Disparities in Sponsorship-How They Perpetuate the Glass Ceiling.,Shakil S; Redberg RF,,2017,Apr,JAMA Intern Med,177,4,582,,10.1001/jamainternmed.2016.9411,28241226,#6,Shakil 2017,"",""
Differences in Mentor-Mentee Sponsorship in Male vs Female Recipients of National Institutes of Health Grants.,Patton EW; Griffith KA; Jones RD; Stewart A; Ubel PA; Jagsi R,This study uses data from a survey of NIH Mentored Career Development grant awardees to determine if sponsorship critical for career advancement of young professionals differs among men and women.,2017,Apr,JAMA Intern Med,177,4,580-582,,10.1001/jamainternmed.2016.9391,28241219,#7,Patton 2017,"",""
"Controlling Behavior, Sex Bias and Coaching Success in Japanese Track and Field.",Tsukahara Y; Kamada H; Torii S; Yamasawa F; Macznik AK,"Coaching athletes is a complex and lengthy process. Recently, attention has been given to coaches over-controlling behavior toward the athletes' personal lives and possible sex bias, but the impact of these behaviors on coaching success is unclear. An anonymous survey was answered by 412 track and field coaches (male: 369; female: 43), comprising questions regarding controlling behaviors, sex bias, and personal background. A Chi-square test and logistic regression were performed to determine the factors related to the coach's characteristics and their success in coaching athletes (to national vs. non-national level). The results showed that controlling behaviors and sex-bias-related beliefs were present. The coaches who coached national-level athletes were more likely to be older, more experienced, and were national level athletes themselves. More national-level coaches reported controlling behaviors but fewer held sex bias beliefs than the non-national level coaches. However, the strength of these beliefs (scores for controlling behavior and sex bias) was not related to the coaching success.",2023,Jan,Sports (Basel),11,2,,,10.3390/sports11020032,36828317,#8,Tsukahara 2023,"",""
Facilitated peer mentoring to close the gender gap in academic emergency medicine.,Yeung EM; Zia A,,2022,Jun,CJEM,24,4,359-361,,10.1007/s43678-022-00331-y,35633475,#9,Yeung 2022,"",""
"Addressing ergonomic, skill acquisition and mentoring constraints that may be contributory to gender disparity in surgery: a 'value add' for robotics?",Fei C; Karatassas A; Cheah S; Hensman C,,2022,Apr,ANZ J Surg,92,4,649-650,,10.1111/ans.17386,35434955,#10,Fei 2022,"",""
Pharmaceutical company sponsorship of doctors: is gender equity a concern?,Mintzes B; Menkes DB,,2023,Sep,Med J Aust,219,6,261-262,,10.5694/mja2.52088,37605943,#11,Mintzes 2023,"",""
Academic advancement of women in medicine: do socialized gender differences have a role in mentoring?,Mayer AP; Files JA; Ko MG; Blair JE,,2008,Feb,Mayo Clin Proc,83,2,204-7,,10.4065/83.2.204,18241630,#12,Mayer 2008,"",""
