Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Can State Family Support Policies Level the Playing Field for Early-Career Women in Plastic Surgery? An Analysis of Web-Scraped Data,Smith R.; ; Karamitros G.; Furnas H.J.; Goulas S.,"BACKGROUND: For the young plastic surgeon, the quantity of first-author peer-reviewed publications plays a prominent role in job offers and promotions. Women surgeons carry a disproportionate share of family responsibilities, contributing to their lower representation in positions of leader- ship and influence. Policies protecting reproductive rights and mandating paid family leave (PFL) boost women's participation and productivity in the workplace. However, these policies vary by U.S., state and territory. <ovid:br/>METHOD(S): Web-scraped publication data from all PubMed-indexed plastic surgery journals from 2010 to 2022 were evaluated by first-author gender and affiliated state reproductive rights policy and PFL. Female first authors were further compared with men by publication output (1 article; >= 2; >= 5) by gender and by affiliated state policies. <ovid:br/>RESULT(S): Protective reproductive rights policies were associated with greater representation of female first authors (3.3 percentage points; p value = 0.003). Protective reproductive rights policies and PFL were associated with a decreased publication gender gap (0.13 articles, p value < 0.001, and 0.18 articles, p value < 0.001, respectively). Protective reproductive policies and PFL had an even greater correlation with higher publication output among female first authors. <ovid:br/>CONCLUSION(S): Protective reproductive rights and mandatory PFL are not only correlated with women's representation among early-career researchers but with a reduction in the publication gender gap. Legislation and policies aimed at supporting women's family responsibilities are associated with higher research productivity among women and likely play a significant role in attracting more women to higher academic ranks and improving gender equity in professional success in plastic surgery. LEVEL OF EVIDENCE IV: This journal requires that authors assign a level of evidence to each article. For a full description of these Evidence-Based Medicine ratings, please refer to the Table of Contents or the online Instructions to Authors www.springer.com/00266 .<ovid:br/>Copyright &#xa9; 2024. Springer Science+Business Media, LLC, part of Springer Nature and International Society of Aesthetic Plastic Surgery.",2024,/,Aesthetic plastic surgery,,"(Smith, Furnas) Division of Plastic Surgery, Department of Surgery, Stanford University, Stanford, CA, United States(Karamitros) Division of Plastic and Reconstructive Surgery, R. Adams Cowley Shock Trauma Center, University of Maryland Medical Center, 11",,646023432,https://dx.doi.org/10.1007/s00266-024-04522-z,39653830,#1,Smith 2024,"",""
When Taking Pay off the Table: A Qualitative Study of Gender Equity for Academic Leaders in the US Military,Schulz E.V.; ; Wyatt T.R.; Ma T.; Maggio L.A.,"INTRODUCTION: Although gender inequity persists globally in academic leadership positions, the United States Military has equitable pay and, in academic pediatrics, has equitable gender representation in leadership positions. To better understand how the US Military framework affects physician leaders, pediatricians were interviewed to illuminate the factors that facilitated their success and what barriers they faced in their career. MATERIALS AND METHODS: In 2022, following institutional review board approval, semi-structured interviews were conducted with 13 total participants (69% female, 31% male) serving as general pediatricians or pediatric subspecialists in the US Military. These pediatricians were in leadership positions of military academic medicine across seven graduate medical education (GME) sites. The interviews examined the leaders' perceptions of facilitators and barriers to their success. The authors analyzed the interviews using Acker's theory of gendered organizations as a theoretical framework, which explains embedded gender roles within work environments. <ovid:br/>RESULT(S): Drawing on the theory of gendered organizations, the authors identified that participants described several facilitators to their success, including the availability of mentorship/sponsorship, inclusive leadership, and early and persistent exposure to women leaders in GME training and beyond. Because medicine's ideal worker was normed around the traditional roles of men, men observed and women experienced barriers to leadership success around issues related to childbearing, maternity leave, and microaggressions. <ovid:br/>CONCLUSION(S): This study revealed that equitability for pediatric GME leadership in the military heavily relied on structures and support created by former leaders and mentors. Isolating these structures within a unique context of military academic medicine can illuminate physicians' experiences to address barriers and better support equitable leadership roles in both military and civilian academic medicine.<ovid:br/>Copyright Published by Oxford University Press on behalf of the Association of Military Surgeons of the United States 2024. This work is written by (a) US Government employee(s) and is in the public domain in the US.",2024,/,Military medicine,189,7-8,e1719EP  - e1727,643287620,https://dx.doi.org/10.1093/milmed/usad489,38241782,#2,Schulz 2024,"",""
Commitment to inclusion: The importance of collaboration in gender equity work,Lee J.K.; ; Levine R.B.; Yousem D.M.; Faraday N.; Skarupski K.A.; Ishii M.; Daugherty Biddison E.L.; Oliva-Hemker M.,"Despite decades of faculty professional development programs created to prepare women for leadership, gender inequities persist in salary, promotion, and leadership roles. Indeed, men still earn more than women, are more likely than women to hold the rank of professor, and hold the vast majority of positions of power in academic medicine. Institutions demonstrate commitment to their faculty's growth by investing resources, including creating faculty development programs. These programs are essential to help prepare women to lead and navigate the highly matrixed, complex systems of academic medicine. However, data still show that women persistently lag behind men in their career advancement and salary. Clearly, training women to adapt to existing structures and norms alone is not sufficient. To effectively generate organizational change, leaders with power and resources must commit to gender equity. This article describes several efforts by the Office of Faculty in the Johns Hopkins University School of Medicine to broaden inclusivity in collaborative work for gender equity. The authors are women and men leaders in the Office of Faculty, which is within the Johns Hopkins University School of Medicine dean's office and includes Women in Science and Medicine. Here, we discuss potential methods to advance gender equity using inclusivity based on our institutional experience and on the findings of other studies. Ongoing data collection to evaluate programmatic outcomes in the Johns Hopkins University School of Medicine will be reported in the future.<ovid:br/>Copyright &#xa9; The Author(s) 2024.",2024,/,Women's Health,20,"(Lee, Levine, Yousem, Faraday, Skarupski, Ishii, Daugherty Biddison, Oliva-Hemker) Office of Faculty, Johns Hopkins University School of Medicine (JHUSOM), Baltimore, MD, United States(Lee, Faraday) Department of Anesthesiology and Critical Care Medicine,",,2029840597,https://dx.doi.org/10.1177/17455057241252574,38742705,#3,Lee 2024,"",""
The Gender Wage Gap Among Early-Career Family Physicians,Sanders K.; ; Jabbarpour Y.; Phillips J.; Fleischer S.; Peterson L.E.,"Purpose: Numerous studies have documented salary differences between male and female physicians. For many specialties, this wage gap has been explored by controlling for measurable factors that influence pay such as productivity, work-life balance, and practice patterns. In family medicine where practice activities differ widely between physicians, it is important to understand what measurable factors may be contributing to the gender wage gap, so that employers and policymakers and can address unjust disparities. <ovid:br/>Method(s): We used data from the 2017 to 2020 American Board of Family Medicine (ABFM) National Graduate Survey (NGS) which is administered to family physicians 3 years after residency (n 1/4 8608; response rate 1/4 63.9%, 56.2% female). The survey collects clinical income and practice patterns. Multiple linear regression analysis was performed, which included variables on hours worked, degree type, principal professional activity, rural/urban, and region. <ovid:br/>Result(s): Although early-career family physician incomes averaged $225,278, female respondents reported incomes that were $43,566 (17%) lower than those of male respondents (P 1/4.001). Generally, female respondents tended toward lower-earning principal professional activities and US regions; worked fewer hours (2.9 per week); and tended to work more frequently in urban settings. However, in adjusted models, this gap in income only fell to $31,804 (13% lower than male respondents, P 1/4.001). <ovid:br/>Conclusion(s): Even after controlling for measurable factors such as hours worked, degree type, principal professional activity, population density, and region, a significant wage gap persists. Interventions should be taken to eliminate gender bias in wage determinations for family physicians.<ovid:br/>Copyright &#xa9; 2024 American Board of Family Medicine. All rights reserved.",2024,/,Journal of the American Board of Family Medicine,37,2,270EP  - 278,2032350335,https://dx.doi.org/10.3122/jabfm.2023.230218R1,38740481,#4,Sanders 2024,"",""
Gender income differences among general practitioners with compulsory services in early career stage in underdeveloped areas: evidence from a prospective cohort study in China,Tang H.; ; Li M.; Zheng H.; Zhang X.; Liu X.,"BACKGROUND: Gender equality and the gender income gap in medicine are long-standing global problems. Although gender-related differences have been widely studied in developed countries, they remain unclear in underdeveloped regions. In 2010, China initiated a national compulsory service program (CSP) to train qualified general practitioners in rural and remote areas. This study aimed to evaluate gender income differences for early career CSP and non-CSP (NCSP) graduates in underdeveloped areas. <ovid:br/>METHOD(S): A cohort study was conducted with 3620 CSP and NCSP graduates from four medical universities in Central and Western China. Baseline surveys and six follow-up surveys were conducted between 2015 and 2022. Incomes, including monthly mean income and proportion of performance-based income, were measured as the key outcome variables. Multivariate linear regression models were used to identify the gender income gap. <ovid:br/>RESULT(S): NCSP graduates had higher average monthly incomes than CSP graduates. In the seventh year after graduation, the average monthly income for NCSP graduates was 7859 CNY while was 5379 CNY for CSP graduates. After controlling for demographic characteristics, the gender monthly income gap for CSP graduates was expanded from the fourth year (3.0%) to the sixth year (5.9%) after graduation, and that for NCSP graduates was expanded from the fifth year (11.9%) to the seventh year (16.3%) after graduation. Regarding performance-based income, it was 58.9% for NCSP graduates and 45.8% for CSP graduates in the seventh year after graduation. After controlling for performance-based income proportion, the gender income gap was reduced from 5.9 to 4.0% in the sixth year after graduation for CSP graduates, and from 16.3 to 14.4% for NCSP graduates in the seventh year after graduation. <ovid:br/>CONCLUSION(S): An extensive and ever-increasing gender income gap exists among young doctors in the early stages of their careers in underdeveloped areas of China. The high proportion of performance-based income among men is one of the main explanations for the observed difference. A more explicit compensation system must be established to enhance support for female health workers.<ovid:br/>Copyright &#xa9; 2024. The Author(s).",2024,/,Human resources for health,22,1,45,644645330,https://dx.doi.org/10.1186/s12960-024-00930-z,38937757,#5,Tang 2024,"",""
From Exclusion to Glass Ceiling: A History of Women in Neonatal Medicine,Obladen M.; ,"The 21st century's medicine is predominantly female: two thirds of medical students now are women. In 375 BCE, Plato argued for equal education for male and female professions, explicitly physicians. In Greece and Rome, tombstones testify for patients' gratitude to women physicians. Christianization opened an era of female subordination. When universities established faculties of medicine during the 13th century, women were excluded and had no place where they could study medicine. Since 1850, female medical studies have been debated. Zurich admitted women from 1864, Paris from 1866. Up until the 1920s, treatment of newborns - especially preterm infants - was in the domain of obstetricians. When pediatricians accepted responsibility for sick newborns, women founded hospitals and public health facilities for infants. After WW2, women took leading roles in research. Their share within pediatrics increased from below 10% to above 60%. But they achieved less than 20% of full professor or chair positions in Europe and less than 35% in the US. Female neonatologists reached fewer positions in editorial boards, authorships, h-factors, keynote lectures, and research grants than did male colleagues. Women pediatricians earned 24% less than did male colleagues. When adjusted for labor force characteristics, the pay gap was still 13%. Women can augment their career chances by setting targets, seeking mentorship, and strengthening self-confidence. Women's careers should be effectively accelerated by institutional support: research offers, part-time work, paid research time, maternity/paternity leave, and support for childcare. Research-oriented neonatology cannot afford to lose female talents.<ovid:br/>Copyright &#xa9; 2023 Authors. All rights reserved.",2023,/,Neonatology,120,3,381EP  - 389,2025790564,https://dx.doi.org/10.1159/000530311,37257427,#6,Obladen 2023,"",""
Misconceptions about women in leadership in academic medicine,Hastie M.J.; ; Lee A.; Siddiqui S.; Oakes D.; Wong C.A.,"Despite progress made over the past decade, women are under-represented in positions of leadership in academic medicine. Women physicians face numerous challenges throughout their careers. Despite achieving leadership positions, women in leadership continue to experience the impact of those challenges. In this review, we describe four misconceptions about women in leadership, along with their impact and recommendations. First, we describe differences between mentorship and sponsorship, as well as their impact on attaining leadership positions. Second, the gender pay gap persists throughout women's careers, regardless of leadership positions. Third, we explore the role of self-efficacy in leadership in the context of stereotype threats. Fourth, gendered expectations of leadership characteristics place an undue burden on women, detracting from their leadership effectiveness. Organizations can address the challenges women face by creating robust mentorship and sponsorship networks, establishing transparent and equitable pay policies, promoting and normalizing a broader range of leadership styles, and improving work flexibility and support structure. Ultimately, such changes serve all members of the organization through increased retention and engagement.<ovid:br/>Copyright &#xa9; 2023, Canadian Anesthesiologists' Society.",2023,/,Canadian Journal of Anesthesia,70,6,1019EP  - 1025,2023240682,https://dx.doi.org/10.1007/s12630-023-02458-7,37193865,#7,Hastie 2023,"",""
Factors shaping the gender wage gap among college-educated computer science workers,Sassler S.; ; Meyerhofer P.,"Encouraging women to pursue STEM employment is frequently touted as a means of reducing the gender wage gap. We examine whether the attributes of computer science workers-who account for nearly half of those working in STEM jobs-explain the persistent gender wage gap in computer science, using American Community Survey (ACS) data from 2009 to 2019. Our analysis focuses on working-age respondents between the ages of 22 and 60 who had a college degree and were employed full-time. We use ordinary least squares (OLS) regression of logged wages on observed characteristics, before turning to regression decomposition techniques to estimate what proportion of the gender wage gap would remain if men and women were equally rewarded for the same attributes-such as parenthood or marital status, degree field, or occupation. Women employed in computer science jobs earned about 86.6 cents for every dollar that men earned-a raw gender gap that is smaller than it is for the overall labor force (where it was 82 percent). Controlling for compositional effects (family attributes, degree field and occupation) narrows the gender wage gap, though women continue to earn 9.1 cents per dollar less than their male counterparts. But differential returns to family characteristics and human capital measures account for almost two-thirds of the gender wage gap in computer science jobs. Women working in computer science receive both a marriage and parenthood premium relative to unmarried or childless women, but these are significantly smaller than the bonus that married men and fathers receive over their childless and unmarried peers. Men also receive sizable wage premiums for having STEM degrees in computer science and engineering when they work in computer science jobs, advantages that do not accrue to women. Closing the gender wage gap in computer science requires treating women more like men, not just increasing their representation.<ovid:br/>Copyright &#xa9; 2023 Public Library of Science. All rights reserved.",2023,/,PLoS ONE,18,10 October,e0293300,2028141171,https://dx.doi.org/10.1371/journal.pone.0293300,37903156,#8,Sassler 2023,"",""
Exploring Gender Bias in Six Key Domains of Academic Science: An Adversarial Collaboration,Ceci S.J.; ; Kahn S.; Williams W.M.,"We synthesized the vast, contradictory scholarly literature on gender bias in academic science from 2000 to 2020. In the most prestigious journals and media outlets, which influence many people's opinions about sexism, bias is frequently portrayed as an omnipresent factor limiting women's progress in the tenure-track academy. Claims and counterclaims regarding the presence or absence of sexism span a range of evaluation contexts. Our approach relied on a combination of meta-analysis and analytic dissection. We evaluated the empirical evidence for gender bias in six key contexts in the tenure-track academy: (a) tenure-track hiring, (b) grant funding, (c) teaching ratings, (d) journal acceptances, (e) salaries, and (f) recommendation letters. We also explored the gender gap in a seventh area, journal productivity, because it can moderate bias in other contexts. We focused on these specific domains, in which sexism has most often been alleged to be pervasive, because they represent important types of evaluation, and the extensive research corpus within these domains provides sufficient quantitative data for comprehensive analysis. Contrary to the omnipresent claims of sexism in these domains appearing in top journals and the media, our findings show that tenure-track women are at parity with tenure-track men in three domains (grant funding, journal acceptances, and recommendation letters) and are advantaged over men in a fourth domain (hiring). For teaching ratings and salaries, we found evidence of bias against women; although gender gaps in salary were much smaller than often claimed, they were nevertheless concerning. Even in the four domains in which we failed to find evidence of sexism disadvantaging women, we nevertheless acknowledge that broad societal structural factors may still impede women's advancement in academic science. Given the substantial resources directed toward reducing gender bias in academic science, it is imperative to develop a clear understanding of when and where such efforts are justified and of how resources can best be directed to mitigate sexism when and where it exists.",2023,/,Psychological science in the public interest : a journal of the American Psychological Society,24,1,15EP  - 73,641128950,https://dx.doi.org/10.1177/15291006231163179,37098793,#9,Ceci 2023,"",""
Equal Pay for Equal Work in the Dean Suite: Addressing Occupational Gender Segregation and Compensation Inequities Among Medical School Leadership,Gottlieb A.S.; ; Dandar V.M.; Lautenberger D.M.; Best C.; Jagsi R.,"In 2022, the Association of American Medical Colleges published data from its annual Dean's Office Staff Compensation and Dean's Compensation Surveys in a new report addressing salary equity among medical school leadership. These data, disaggregated by gender and race/ethnicity, represent earnings of the senior most leaders in the dean suite and have historically been shared only with medical school Deans and principal business officers. The report shows that the highest-ranking decanal positions in U.S. medical schools are filled along the lines of traditional gender stereotypes (with men in clinical affairs and research affairs deanships and women in admissions, diversity affairs, faculty affairs, and student affairs deanships) and that the roles held mostly by men carry grander titles (e.g., senior associate dean vs assistant dean) and significantly higher salaries than those typically held by women. Additionally, within the same decanal positions, women earn lower median compensation than men. In this commentary, the authors describe limited advancement and lower compensation as foregone conclusions for women in medicine and science due to a professional model that places a premium on activities traditionally pursued by men. They define and characterize the impact of this occupational gender segregation in the dean suite and offer a roadmap for an alternative value system that recognizes complementary leadership activities across the mission areas of academic medicine and ensures that the contributions of women in the profession are appropriately recognized, valued, and rewarded.<ovid:br/>Copyright &#xa9; 2022 by the Association of American Medical Colleges.",2023,/,Academic medicine : journal of the Association of American Medical Colleges,98,3,296EP  - 299,639792152,https://dx.doi.org/10.1097/ACM.0000000000005087,36512834,#10,Gottlieb 2023,"",""
