Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Recruiting Young People for Digital Mental Health Research: Lessons From an AI-Driven Adaptive Trial.,Zheng WY; Shvetcov A; Slade A; Jenkins Z; Hoon L; Whitton A; Logothetis R; Ravindra S; Kurniawan S; Gupta S; Huckvale K; Stech E; Agarwal A; Funke Kupper J; Cameron S; Rosenberg J; Manoglou N; Senadeera M; Venkatesh S; Mouzakis K; Vasa R; Christensen H; Newby JM,"BACKGROUND: With increasing adoption of remote clinical trials in digital mental health, identifying cost-effective and time-efficient recruitment methodologies is crucial for the success of such trials. Evidence on whether web-based recruitment methods are more effective than traditional methods such as newspapers, media, or flyers is inconsistent. Here we present insights from our experience recruiting tertiary education students for a digital mental health artificial intelligence-driven adaptive trial-Vibe Up. OBJECTIVE: We evaluated the effectiveness of recruitment via Facebook and Instagram compared to traditional methods for a treatment trial and compared different recruitment methods' retention rates. With recruitment coinciding with COVID-19 lockdowns across Australia, we also compared the cost-effectiveness of social media recruitment during and after lockdowns. METHODS: Recruitment was completed for 2 pilot trials and 6 minitrials from June 2021 to May 2022. To recruit participants, paid social media advertising on Facebook and Instagram was used, alongside mailing lists of university networks and student organizations or services, media releases, announcements during classes and events, study posters or flyers on university campuses, and health professional networks. Recruitment data, including engagement metrics collected by Meta (Facebook and Instagram), advertising costs, and Qualtrics data on recruitment methods and survey completion rates, were analyzed using RStudio with R (version 3.6.3; R Foundation for Statistical Computing). RESULTS: In total, 1314 eligible participants (aged 22.79, SD 4.71 years; 1079, 82.1% female) were recruited to 2 pilot trials and 6 minitrials. The vast majority were recruited via Facebook and Instagram advertising (n=1203; 92%). Pairwise comparisons revealed that the lead institution's website was more effective in recruiting eligible participants than Facebook (z=3.47; P=.003) and Instagram (z=4.23; P<.001). No differences were found between recruitment methods in retaining participants at baseline, at midpoint, and at study completion. Wilcoxon tests found significant differences between lockdown (pilot 1 and pilot 2) and postlockdown (minitrials 1-6) on costs incurred per link click (lockdown: median Aus $0.35 [US $0.22], IQR Aus $0.27-$0.47 [US $0.17-$0.29]; postlockdown: median Aus $1.00 [US $0.62], IQR Aus $0.70-$1.47 [US $0.44-$0.92]; W=9087; P<.001) and the amount spent per hour to reach the target sample size (lockdown: median Aus $4.75 [US $2.95], IQR Aus $1.94-6.34 [US $1.22-$3.97]; postlockdown: median Aus $13.29 [US $8.26], IQR Aus $4.70-25.31 [US $2.95-$15.87]; W=16044; P<.001). CONCLUSIONS: Social media advertising via Facebook and Instagram was the most successful strategy for recruiting distressed tertiary students into this artificial intelligence-driven adaptive trial, providing evidence for the use of this recruitment method for this type of trial in digital mental health research. No recruitment method stood out in terms of participant retention. Perhaps a reflection of the added distress experienced by young people, social media recruitment during the COVID-19 lockdown period was more cost-effective. TRIAL REGISTRATION: Australian New Zealand Clinical Trials Registry ACTRN12621001092886; https://tinyurl.com/39f2pdmd; Australian New Zealand Clinical Trials Registry ACTRN12621001223820; https://tinyurl.com/bdhkvucv.",2025,Jan,J Med Internet Res,27,,e60413,,10.2196/60413,39808785,#1,Zheng 2025,"",""
Recruitment Strategies To Improve Gender Equity in Clinical and Translational Research Training in Ethiopia.,Hoover AT; Woldeamanuel Y; Wassie L; Eyob H; Haile Mariam D; Kempker RR; Blumberg HM; Comeau DL; Bobosha K,"Women from sub-Saharan Africa, including Ethiopia, are underrepresented in biomedical research due in part to limited access to high-quality research training and mentorship. Tuberculosis (TB) is a major public health problem in Ethiopia, with a limited number of female Ethiopian scientists engaged in TB-related research. To improve access to TB-related research training among junior women scientists, our NIH Fogarty International Center-funded D43 program released an all-women request for applications (RFA), which substantially increased the number of women applying for research training and the number of women trained in our program. The impact of the all-women cohort was also bolstered by prominent female representation in mentor teams, program leadership, and program alumnae. Sustained increases in applications from women were seen in subsequent RFAs that included both women and men. Targeted leadership, mentorship, and recruitment efforts were effective in promoting improved gender equity in biomedical research training.",2025,Jan,Am J Trop Med Hyg,112,1,13-16,,10.4269/ajtmh.24-0120,39406208,#2,Hoover 2025,"",""
Strategies to improve recruitment in mental health clinical trials: a scoping review (RE-MIND study).,Iflaifel M; Hall CL; Green HR; Willis A; Rennick-Egglestone S; Juszczak E; Townsend M; Martin J; Sprange K,"BACKGROUND: Lower-than-expected recruitment continues to be one of the major causes of trial delays, and trials to improve mental health are no exception. Indeed, recruitment challenges in trials of vulnerable populations, such as those living with mental health illness, can even be exacerbated. To address this, researchers are turning to digital and online recruitment strategies, e.g. web-based approaches and multi-media in order to (1) increase recruitment efficiency (recruit to target and on time) and (2) improve diversity in mental health clinical trials to be more inclusive and reduce health inequity. There is, however, inconclusive evidence on the success of digital and online recruitment strategies in mental health clinical trials. The RE-MIND study comprised a scoping review to assess the impact of using such recruitment strategies in mental health clinical trials to inform a more systematic scoping review. METHODS: A cohort of 191 recently published RCTs and randomised feasibility studies were identified from the NIHR Journals Library and top two mental health journals (based on citation metrics), Lancet Psychiatry and JAMA Psychiatry. Population characteristics including gender, ethnicity and age were summarised for inclusivity using descriptive statistics, and recruitment strategies were compared to examine differences in their success in recruiting to target. RESULTS: After screening, 97 articles were included for review. The review findings showed no evidence that offline or mixed strategies were superior for achieving recruitment targets in mental health trials. However, there was a suggestion that trials using a mixed recruitment strategy improved inclusivity and tended to recruit closer to the target. CONCLUSIONS: The key finding was that consideration should be given to a mixed methods approach to recruitment not only to enable wider and more diverse participation in mental health trials but also to realize greater efficiency.",2024,Dec,Trials,25,1,832,,10.1186/s13063-024-08665-x,39695709,#3,Iflaifel 2024,"",""
Recruitment of Adolescents to Virtual Clinical Trials: Recruitment Results From the Health4Me Randomized Controlled Trial.,Raeside R; Todd AR; Barakat S; Rom S; Boulet S; Maguire S; Williams K; Mihrshahi S; Hackett ML; Redfern J; Partridge SR,"BACKGROUND: Preventive interventions are needed to provide targeted health support to adolescents to improve health behaviors. Engaging adolescents in preventive interventions remains a challenge, highlighting the need for innovative recruitment strategies. Given adolescents' lives are intertwined with digital technologies, attention should be focused on these avenues for recruitment. The evolving nature of clinical trials, including the emergence of virtual clinical trials, requires new recruitment approaches, which must be evaluated. OBJECTIVE: This study aimed to examine the effectiveness and cost of various digital recruitment strategies for recruiting adolescents to a virtual clinical trial, evaluate the progression of participants from screening to enrollment, and explore factors associated with nonparticipation. This was conducted using data from the Health4Me Study, a preventive digital health intervention to improve physical activity and nutrition behaviors among adolescents aged 12 to 18 years. METHODS: Participants were recruited into the Health4Me Study via social media advertisements on various contemporary platforms, emails to schools, emails to contacts within known networks, and emails to relevant youth organizations. Data were collected from social media advertisements, screening, and recruitment logs. Data analysis included summary and descriptive statistics, as well as chi-square tests to explore factors associated with nonparticipation. RESULTS: From 2369 expressions of interest, 390 (16.4%) participants were enrolled. A total of 19 advertisements were placed on social media, and 385 promotional emails were sent to schools, contacts within known networks, and relevant youth organizations. Social media advertisements reached 408,077 unique accounts. Advertisements mostly reached those living in populous states in Australia (306,489/408,077, 75.11% of unique accounts) and those identifying as female (177,698/408,077, 43.55% of unique accounts). A total of 24.97% (101,907/408,077) of advertisements were delivered to accounts with uncategorized genders. The total cost per participant enrolled was Aus $3.89 (approximately US $2.58). Most participants (1980/2305, 85.90%) found out about this study through Instagram. Differences in screening characteristics between eligible participants who did and did not enroll were found to be statistically significant for gender (P=.02), with fewer males and more individuals reporting their gender as ""other"" enrolling than expected by chance alone. The recruitment method also differed (P<.001), with fewer participants enrolling through Instagram and more enrolling through other methods (eg, known networks or word of mouth) than expected by chance alone. CONCLUSIONS: This study found that virtual clinical trial recruitment was found to be low-cost, with the potential to increase trial participation. Social media was the most effective recruitment method, reaching all states and territories, including hard-to-reach populations. Future action is needed to explore recruitment methods that are more effective for males and to build trust among adolescents regarding clinical trial recruitment via social media.",2024,Dec,JMIR Pediatr Parent,7,,e62919,,10.2196/62919,39807764,#4,Raeside 2024,"",""
The effects of resistance training to near volitional failure on motor unit recruitment during neuromuscular fatigue.,Beausejour JP; Knowles KS; Pagan JI; Rodriguez JP; Sheldon D; Ruple BA; Plotkin DL; Smith MA; Godwin JS; Sexton CL; McIntosh MC; Kontos NJ; Libardi CA; Young K; Roberts MD; Stock MS,"BACKGROUND: It is unclear whether chronically training close to volitional failure influences motor unit recruitment strategies during fatigue. PURPOSE: We compared resistance training to near volitional failure vs. non-failure on individual motor unit action potential amplitude (MUAP) and surface electromyographic excitation (sEMG) during fatiguing contractions. METHODS: Nineteen resistance-trained adults (11 males, 8 females) underwent 5 weeks (3×/week) of either low repetitions-in-reserve (RIR; 0-1 RIR) or high RIR training (4-6 RIR). Before and after the intervention, participants performed isometric contractions of the knee extensors at 30% of maximal peak torque until exhaustion while vastus lateralis sEMG signals were recorded and later decomposed. MUAP and sEMG excitation for the vastus lateralis were quantified at the beginning, middle, and end of the fatigue assessment. RESULTS: Both training groups improved time-to-task failure (mean change = 43.3 s, 24.0%), with no significant differences between low and high RIR training groups (low RIR = 28.7%, high RIR = 19.4%). Our fatigue assessment revealed reduced isometric torque steadiness and increased MUAP amplitude and sEMG excitation during the fatiguing task, but these changes were consistent between groups. CONCLUSION: Both low and high RIR training improved time-to-task failure, but resulted in comparable motor unit recruitment during fatiguing contractions. Our findings indicate that both low and high RIR training can be used to enhance fatiguability among previously resistance-trained adults.",2024,,PeerJ,12,,e18163,,10.7717/peerj.18163,39421412,#5,Beausejour 2024,"",""
Engaging Diverse African American/Black and Latine Youth and Emerging Adults Living with HIV into Research: Description of Recruitment Strategies and Lessons Learned.,Serrano S; Wilton L; Sherpa D; Cleland CM; Zaldivar MF; Maria ZK; Rosmarin-DeStefano C; Munson MR; Padilla AS; Gwadz M,"Improving engagement along the HIV care continuum and reducing racial/ethnic disparities are necessary to end the HIV epidemic. Research on African American/Black and Latine (AABL) younger people living with HIV (LWH) is essential to this goal. However, a number of key subgroups are challenging to locate and engage, and are therefore under-represented in research. Primary among these are persons with non-suppressed HIV viral load, severe socioeconomic disadvantage, transgender/gender expansive identities, and refugee/migrant/immigrant populations. Research in community settings is needed to complement studies conducted in medical institutions. The present study describes the efficiency of recruitment strategies used in the community to enroll AABL young and emerging adults LWH ages 19-28 years. Strategies were designed to be culturally responsive and structurally salient. They were: peer-to-peer, social media, classified advertisements (newspaper, craigslist), subway ads, dating apps (Jack'd, Positive Singles), and direct recruitment in community-based organizations. Data were analyzed using mainly descriptive statistics and interpreted using a consensus building approach. We screened 575 individuals in a first step, 409 were eligible (71%), of these 297 presented to the second screening step (73%), but 112 were lost. Almost all presenting at the second step were eligible (98%, 291/297) and 94% enrolled (274/291). Peer-to-peer, dating app (Jack'd), direct recruitment, and craigslist were the most efficient strategies. Recruitment on dating apps was superior to the peer-to-peer approach in yielding eligible participants (OR = 1.5; 95% CI: 0.98-2.3; p = 0.06). The sample enrolled was diverse with respect to HIV viral suppression, gender identify, sexual orientation, immigration status, and barriers to HIV care engagement. We discuss the advantages and disadvantages of each strategy. Recruitment is a vital aspect of research and warrants attention in the empirical literature.",2024,Oct,AIDS Behav,,,,,10.1007/s10461-024-04524-7,39395069,#6,Serrano 2024,"",""
Gender challenges within the UK Defence Medical Services: recruiting and retaining a diverse workforce.,Swain C; Evans C; Kinkaid V; Keogh J; Orr L; King K,"While there are women represented in some notable positions within the UK Defence Medical Services (DMS), the challenges and barriers to successful female progression have not disappeared. The DMS needs highly talented, motivated doctors working to support operations, yet we struggle to recruit and retain female personnel. This is in clear contrast to the increased proportion of female personnel working within the civilian medical workforce.This article seeks to communicate this problem, illustrated by the lived experiences of DMS female doctors, by exploring the six gender bias barriers ('Glass Walls') that hold women back in the workplace.Cultural change requires a determined effort, driven persistently from the top and at every level of leadership and management. The first step requires recognition and acceptance of the problem. Progress is likely to be slow, or fail, if driven by the female minority alone. While the DMS remains a majority-male organisation, male allies are pivotal in advocating for their female colleagues, to promote change, in an effort to recruit and retain talented individuals.",2024,Sep,BMJ Mil Health,,,,,10.1136/military-2024-002753,39313292,#7,Swain 2024,"",""
Informed consent and coercion in recruitment advertisements for oocyte donors.,Lake R; Berzansky I; Lanes A; Srouji S; Ginsburg E; Insogna I,"BACKGROUND: As the use of donor eggs for in vitro treatment has increased, both medically affiliated and private donor egg agencies have turned to online advertisements to recruit donors. The American Society for Reproductive Medicine provides recommendations encouraging ethical recruitment of donors, however there is no formal regulation for the informed consent process for egg donor recruitment and compensation. Underrepresentation of risks and targeted financial incentives may pose a risk to the informed consent process. METHODS: Data from online advertisements for egg donors active between January 1 - August 31, 2020, were collected to analyze content related to risks, Covid-19 precautions, donor payment, and desired donor characteristics. Advertisements for egg donors on Google, Craigslist, and social media were analyzed. Primary outcomes included the mention of the risks of egg donation, including the risk of Covid-19 exposure, in donor egg advertisements. Secondary outcomes included language targeting specific donor characteristics and financial compensation. RESULTS: 103 advertisements were included. 35.9% (37/103) of advertisements mentioned some risk of the egg donation process, and 18.5% (19/103) mentioned risks or precautions related to Covid-19 exposure. Of advertisements for private donor egg agencies, 40.7% (24/59) mentioned any risk, compared to 29.6% (13/44) of medically affiliated egg donation programs; the difference was not statistically significant (p-value = 0.24). Agencies targeting students and donors of a specific race were more likely to offer payments over $10,000 for an egg donation cycle. Among advertisements offering over $20,000 for donor compensation, 72.7% (8/11) recruited women under the age of 21. CONCLUSION: Egg donor recruitment advertisements, for both medically affiliated programs and private agencies, were unlikely to mention risks including the risk of exposure to Covid-19. Non-medically affiliated private donor egg agencies were more likely to violate multiple American Society for Reproductive Medicine ethics guidelines, including offering higher than average compensation, and recruiting donors from young and vulnerable populations.",2024,Sep,BMC Womens Health,24,1,526,,10.1186/s12905-024-03302-w,39300511,#8,Lake 2024,"",""
Cohort profile: DNA methylation in the Northern Ireland Cohort for the Longitudinal Study of Ageing (NICOLA) - recruitment and participant characteristics.,Potter C; Hill C; Smyth LJ; Neville C; Scott A; Kee F; McGuinness B; McKnight A,"PURPOSE: Epigenetic modifications including DNA methylation (DNAm) are proposed mechanisms by which social or environmental exposures may influence health and behaviours as we age. The Northern Ireland Cohort for the Longitudinal Study of Ageing (NICOLA) DNAm cohort, established in 2013, is one of several worldwide, nationally representative prospective studies of ageing with biological samples from participants who consented to multiomic analysis. PARTICIPANTS: NICOLA recruited 8478 participants (8283 aged 50 years or older and 195 spouses or partners at the same address aged under 50 years). Computer-Assisted Personal Interviews, Self-Completion Questionnaires and detailed Health Assessments (HA) were completed. Of the 3471 (44.1%) participants who attended the HA in wave 1, which included venous blood sampling, 2000 were identified for the DNAm cohort. Following technical and data quality control checks, DNAm data are currently available for n=1870. FINDINGS TO DATE: There was no significant difference based on age, self-reported gender, education, employment, smoking or alcohol status and subjective health reports between the DNAm cohort and other HA attendees. Participants were more likely to be in the DNAm group if they lived with one other person (OR 1.26, 95% CI 1.07 to 1.49). The DNAm group had a lower proportion of depressed participants and those meeting criteria for post-traumatic stress disorder (11.7% and 4.4% vs 13.5% and 4.5%, respectively) categorised by objective assessment tools but this was not significant (OR 0.84, 95% CI 0.69 to 1.02 and OR 0.87, 95% CI 0.64 to 1.19). FUTURE PLANS: The deeply phenotyped DNAm cohort in NICOLA with planned prospective follow-up and additional multiomic data releases will increase the cohort's utility for research into ageing. The genomic and epigenetic data for the DNAm cohort has been deposited on the European Genome-Phenome Archive, increasing the profile of this cohort and data availability to researchers.",2024,Sep,BMJ Open,14,9,e085652,,10.1136/bmjopen-2024-085652,39277204,#9,Potter 2024,"",""
Gendered hiring and attrition on the path to parity for academic faculty.,LaBerge N; Wapman KH; Clauset A; Larremore DB,"Despite long-running efforts to increase gender diversity among tenured and tenure-track faculty in the U.S., women remain underrepresented in most academic fields, sometimes dramatically so. Here, we quantify the relative importance of faculty hiring and faculty attrition for both past and future faculty gender diversity using comprehensive data on the training and employment of 268,769 tenured and tenure-track faculty rostered at 12,112U.S. PhD-granting departments, spanning 111 academic fields between 2011 and 2020. Over this time, we find that hiring had a far greater impact on women's representation among faculty than attrition in the majority (90.1%) of academic fields, even as academia loses a higher share of women faculty relative to men at every career stage. Finally, we model the impact of five specific policy interventions on women's representation, and project that eliminating attrition differences between women and men only leads to a marginal increase in women's overall representation-in most fields, successful interventions will need to make substantial and sustained changes to hiring in order to reach gender parity.",2024,Jul,Elife,13,,,,10.7554/eLife.93755,38984481,#10,LaBerge 2024,"",""
