Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Assessing a Student Mentorship Programme at the University of Limpopo: Mentees’ Perspectives,"Letsoalo, ME; Chia, E","This quantitative study, which used secondary data of 55 mentees, out of which 18 (32.73%) were male and 37 (67.27%) were female, investigated university students' perceptions of the Baditi Students Support Programme (BSSP), a mentoring initiative at the University of Limpopo, focusing on gender differences and the programme's overall effectiveness. It highlights mentoring and learning as ongoing, reciprocal processes that benefit mentors and mentees, contributing to a dynamic learning community. The findings indicate that gender does not significantly affect BSSP’s perceptions, with both male and female mentees sharing similar views on its effectiveness and expressing general satisfaction. However, concerns were noted regarding the absence of a student handbook for mentees and the practicality of assigning multiple mentors to one mentee. The study underscores the critical role of mentor selection and preparation and suggests the exploration of alternative mentoring models. It recommends that the University of Limpopo should ensure comprehensive mentor training, support, and systematic evaluation methods to improve its mentoring programme. Furthermore, the study indicates a gap in research on mentoring, particularly for students with high abilities, suggesting an area ripe for further study in the context of higher education.",2024,,"African Journal of Gender, Society & Development",13,4,137-137–161,3151354603,https://doi.org/10.31920/2634-3622/2024/v13n4a7,,#87,Letsoalo 2024,"",""
Mandatory Quotas and Women’s Representation on South African Mining Boards: Levelling the Field or Perpetuating Inequalities?,"Moraka, Nthabiseng V","Globally, women have been a minority in corporate boardrooms for decades, with little improvement witnessed over time. Even with the introduction of quota legislation, boardrooms worldwide are slow in recruiting and retaining women directors. This study examined the impact of quota policies, specifically the South African Mining Charter, on board representation in South African mining companies. In-depth interviews with 36 board members (20 women and 16 men) across six Johannesburg Stock Exchange-listed (JSE) mining companies formed the basis of the analysis of the implementation of the quota system. By means of thematic data analysis, the findings of this research revealed contrasting outcomes of quota system implementation in the mining sector boards of quota policy implementation. Firstly, findings show that quotas propelled compliance-based appointments, which were not skills- or merit-based. Secondly findings showed that the quota system facilitated the recruitment of more black women to boards by signalling a tick box exercise, which facilitated a negative board reception. Several black women experienced a sense of mockery, leading to a need to prove their competence, which often resulted in an added burden, particularly for women who regarded themselves, as competent as their male counterparts. Regardless, the women interviewed affirmed that quota targets needed to be imposed with more focus on merit-based recruitment to enhance the radical transformation of board compositions. This research provides valuable insights for policymakers, industry stakeholders, and scholars seeking a comprehensive understanding of the dynamics surrounding the implementation of quota legislation. It concludes that quotas are required to enforce radical changes in the gender composition of boards. The implementation of quotas through a competitive recruitment process aimed at selecting skilled women is recommended. A critical mass board (at least three women) as a minimum threshold is recommended to ensure that women are empowered to transform board compositions, cultures, and influence decisions.",2024,,"African Journal of Gender, Society & Development",13,3,331-331–353,3112750479,https://doi.org/10.31920/2634-3622/2024/v13n3a16,,#88,Moraka 2024,"",""
ACCESS TO HEALTH INSURANCE SCHEMES IN NIGERIA: IMPLICATIONS ON MATERNAL MORTALITY,"Ilevbare, Oluwatosin; Jato, Terungwa Paul J","This study investigated the relationship between Nigerian women's access to health insurance and maternal mortality, also considering the moderating role of women demographics. The coverage of National/State Health Insurance (NHI) especially as it relates with gender, age of respondents, type of health insurance, level of education of respondents, and area of residence was assessed. A cross-sectional survey of 2018 Nigeria Demographic and Health Survey dataset was used. For every 1% rise in the number of women enrolled with health insurance, there is a 53.4% decrease in maternal mortality rate. It was also discovered that the level of education and age significantly influence their access to health insurance, which in turn influenced rate of maternal mortality. The need to strategically increase women's enrolment and coverage in NHI is imperative as this can potentially improve women's health outcomes especially among women with low educational qualification and residents of rural areas. It is therefore recommended that there is a strong policy in place to ensure effective inclusion of vulnerable members (women and children) and rural women under the national/state health insurance scheme.",2024,,Gender & Behaviour,22,2,22810-22824,3153258066,,,#89,Ilevbare 2024,"",""
FACTORS CONTRIBUTING TO ATTRITION FROM THE MEDICATION DISPENSING PROGRAMME IN THE NORTH WEST PROVINCE AMONGST PEOPLE LIVING WITH HIV,"Masemola, O; Musie, M; Coetzee-Prinsloo, I","The Centralised Chronic Medicine Dispensing and Distribution (CCMDD) programme, introduced in South Africa in 2014, works in partnership with the Health Systems Trust (HST) on behalf of the National Department of Health. The aim of the programme is to provide access to stable HIV- infected clients to receive treatment outside of the clinic at pick up points with shorter queues in a convenient area. This study intended to explore and describe the factors that contribute to the attrition rate amongst people living with Human Immunodeficiency Virus (HIV) from the CCMDD programme in the Bojanala District, Northwest Province. A qualitative, explorative, and descriptive approach guided the study. Twelve people living with HIV were purposively sampled and individual interviews were conducted until data saturation was reached. Data analysis was done using content analysis. Three main themes emerged from the data, namely patient-related factors, healthcare provider-related factors and resource-related factors, with sub-themes such as financial challenges, patient-nurse interaction, stigmatization, and inadequate knowledge of ARV therapy; resource provider-related issues like medication availability and inconvenient collection periods, addressing these factors is crucial to improving retention in the programme . Results: The factors emerged indicated the need for strategies to address financial support for patients, community education to reduce stigmatization, and enhanced patient education on ARV therapy. Strengthening patient-nurse interactions and ensuring consistent follow-up from the healthcare providers are also essential. Recommendations include ensuring reliable medication availability and flexible collection periods to accommodate patients' schedules.",2024,,Gender & Behaviour,22,2,22838-22846,3153257688,,,#90,Masemola 2024,"",""
Trajectories of depletion following witnessing incivility toward women: a time-lagged study,"Arena, David F, Jr; Jones, Kristen P; Lindsey, Alex P; Sabat, Isaac E; DuBois, Hayden T; Tripathy, Shovna C","PurposeThe authors aim to broaden the understanding of incivility through the lens of bystanders who witness incivility toward women. Integrating attributional ambiguity and emotional contagion theories with the literature on workplace mistreatment, the authors propose that witnessing incivility toward women may negatively impact bystanders.Design/methodology/approachThe authors collected multi-wave data from 324 employees to assess the consequences of witnessing incivility toward women at work for bystanders.FindingsUtilizing a serial mediation model, the authors found evidence that witnessing incivility toward women indirectly increased turnover intentions six weeks later, first through elevated negative affect and then through increased cognitive burnout.Originality/valueTaken together, this study's findings suggest that the negative effects of incivility toward women can spread to bystanders and highlight the importance of considering individuals who are not directly involved, but simply bear witness to incivility at work.",2024,,"Equality, Diversity and Inclusion: An International Journal",43,4,740-755,3048280019,https://doi.org/10.1108/EDI-06-2023-0184,,#91,Arena 2024,"",""
Toward a new conceptual framework: Employing a Black feminist approach to the recruitment and retention of Black women faculty in health and medical degree programs,"Wade, Jeannette M","The sociodemographic makeup of the professoriate in health and healthcare has been shown to have direct implications for graduation rates among minoritized populations, diversity in healthcare, the prevalence of health equity scholarship, and population health broadly. Black women academics, who navigate higher education as members of two minoritized groups, need to be intentionally recruited and retained using tailored approaches. Given the historical and ongoing dearth of Black women faculty in health and healthcare, and the mounting literature on health equity highlighting the benefits of Black women representation in healthcare, I propose an approach to the recruitment and retention of Black women using a Black feminist theory. This conceptual framework outlines barriers to recruiting and retaining Black women faculty, as well as culturally tailored and gender-specific means to mitigate them, to create a safe space for Black women scholars to seek employment and thrive once they are there.",2024,,Women's Health,20,,,3150156721,https://doi.org/10.1177/17455057241307091,,#92,Wade 2024,"",""
Changes of bone turnover markers and bone mineral density among postmenopausal Thai women with osteoporosis receiving generic risedronate,"Ammarin Suwan; Tanavalee, Chotetawan; Panyakhamlerd, Krasean; Ngarmukos, Srihatach; Chavaengkiat, Suchanant; Tanavalee, Aree; Chavarin Amarase; Bumphenkiatikul, Thanapob","BackgroundOsteoporosis has been recognized as a significant health issue in Thailand. Pharmacological interventions are important way to prevent fracture. However, one of the main challenges in selecting a medication is high cost, particularly for brand-name drugs. Data on generic bisphosphonate use in Thai are still lacking. Therefore, our study aimed to assess the efficacy and safety of generic risedronate in postmenopausal Thai women with osteoporosis.MethodsThis prospective study was conducted at King Chulalongkorn Memorial Hospital, Bangkok, Thailand, from December 2022 to January 2024. Serum C-terminal cross-linking telopeptide of type I collagen (CTX) and procollagen type I N-propeptide (P1NP) were measured at baseline. All participants subsequently received 35 milligrams of oral risedronate once weekly for 52 weeks. Serum CTX and P1NP were remeasured at different time points. BMD was reevaluated at 52 weeks after risedronate treatment initiation.ResultsA total of 80 participants were included. The mean age was 65.2 ± 6.6 years. The mean body mass index (BMI) was 23.45 ± 3.49 kg/m2. The median (IQR) serum CTX level at 12 weeks was significantly lower than that at baseline (0.28 (0.16–0.46) ng/mL versus 0.44 (0.26–0.64) ng/mL, respectively; p value < 0.01). The suppression of serum CTX was confirmed at 52 weeks after treatment initiation. Compared with those at baseline, the serum P1NP levels were significantly lower at 24 weeks after treatment initiation (30.33 (19.19–39.58) ng/mL versus 41.90 (30.33–68.67) ng/mL, respectively; p value < 0.01). In terms of the BMD assessment at 52 weeks, significant improvements were observed in both areal BMD (g/cm2) and T scores at all measured sites compared with baseline. The lumbar spine, femoral neck, and total hip BMD increased from baseline by 4.76%, 3.84% and 4.54%, respectively.ConclusionPostmenopausal women with osteoporosis who were treated with generic risedronate demonstrated significant suppression of the bone remodelling process at 3, 6, and 12 months after treatment initiation. Additionally, significant improvements in the lumbar spine, femoral neck, and total hip BMD were observed at 12 months of therapy. These findings suggest that generic risedronate could be considered a reasonable and interesting option for treating postmenopausal women with osteoporosis in Thailand.",2024,,BMC Women's Health,24,,1-9,3126416667,https://doi.org/10.1186/s12905-024-03404-5,,#93,AmmarinSuwan 2024,"",""
Barriers and facilitators of retention in care after cervical cancer screening: patients’ and healthcare providers’ perspectives,"Owokuhaisa, Judith; Turyakira, Eleanor; Ssedyabane, Frank; Tusubira, Deusdedit; Rogers Kajabwangu; Musinguzi, Pius; Galiwango, Martin; Randall, Thomas C; Kakongi, Nathan; Castro, Cesar M; Atukunda, Esther C; Maling, Samuel","BackgroundCervical cancer continues to threaten women’s health, especially in low-resource settings. Regular follow-up after screening and treatment is an effective strategy for monitoring treatment outcomes. Consequently, understanding the factors contributing to patient non-attendance of scheduled follow-up visits is vital to providing high-quality care, reducing morbidity and mortality, and unnecessary healthcare costs in low-resource settings.MethodsA descriptive qualitative study was done among healthcare providers and patients who attended the cervical cancer screening clinic at Mbarara Regional Referral Hospital in southwestern Uganda. In-depth interviews were conducted using a semi-structured interview guide. Interviews were audio-recorded, transcribed verbatim, and thematically analysed in line with the social-ecological model to identify barriers and facilitators.ResultsWe conducted 23 in-depth interviews with 5 healthcare providers and 18 patients. Health system barriers included long waiting time at the facility, long turnaround time for laboratory results, congestion and lack of privacy affecting counselling, and healthcare provider training gaps. The most important interpersonal barrier among married women was lacking support from male partners. Individual-level barriers were lack of money for transport, fear of painful procedures, emotional distress, and illiteracy. Inadequate and inaccurate information was a cross-cutting barrier across the individual, interpersonal, and community levels of the socio-ecological model. The facilitators were social support, positive self-perception, and patient counselling.ConclusionsOur study revealed barriers to retention in care after cervical cancer screening, including lack of partner support, financial and educational constraints, and inadequate information. It also found facilitators that included social support, positive self-perception, and effective counselling.",2024,,BMC Women's Health,24,,1-13,3115130305,https://doi.org/10.1186/s12905-024-03343-1,,#94,Owokuhaisa 2024,"",""
Development and validation of a prediction model for postoperative urinary retention after prolapse surgery: A retrospective cohort study,"Kim, Min Ju; Lee, Sungyoung; Lee, So Yeon; Oh, Sumin; Jeon, Myung Jae","BackgroundPostoperative urinary retention (POUR), a common condition after prolapse surgery with potential serious sequelae if left untreated, lacks a clearly established optimal timing for catheter removal. This study aimed to develop and validate a predictive model for postoperative urinary retention lasting > 2 and > 4 days after prolapse surgery.MethodsWe conducted a retrospective review of 1,122 patients undergoing prolapse surgery. The dataset was divided into training and testing cohorts. POUR was defined as the need for continuous intermittent catheterization resulting from a failed spontaneous voiding trial, with passing defined as two consecutive voids ≥ 150 mL and a postvoid residual urine volume ≤ 150 mL. We performed logistic regression and the predicted model was validated using both training and testing cohorts.ResultsAmong patients, 31% and 12% experienced POUR lasting > 2 and > 4 days, respectively. Multivariable logistic model identified 6 predictors. For predicting POUR, internal validation using cross-validation approach showed good performance, with accuracy lasting > 2 (area under the curve [AUC] 0.73) and > 4 days (AUC 0.75). Split validation using pre-separated dataset also showed good performance, with accuracy lasting > 2 (AUC 0.73) and > 4 days (AUC 0.74). Calibration curves demonstrated that the model accurately predicted POUR lasting > 2 and > 4 days (from 0 to 80%).ConclusionsThe proposed prediction model can assist clinicians in personalizing postoperative bladder care for patients undergoing prolapse surgery by providing accurate individual risk estimates.",2024,,BMC Women's Health,24,,1-7,3066894095,https://doi.org/10.1186/s12905-024-03171-3,,#95,Kim 2024,"",""
Retaining U.S. stem women faculty during the COVID-19 pandemic: the important role of family-supportive supervisor behaviors to lower work-to-life conflict,"Lawson, Katie M; Lee, Soomi; Smith, Claire; Thiem, Kelsey C","PurposeThe COVID-19 pandemic may negatively impact the careers of U.S. women faculty in computer science (CS) – a field with few women and high attrition rates among women – due to difficulties balancing increased work and family demands (author citation). Thus, it is important to understand whether supervisors may help to decrease this work-to-life conflict and increase the odds of retaining women faculty. This study examined whether family-supportive supervisor behaviors (FSSB) were associated with better retention-related job outcomes (e.g., lower turnover intentions) among women faculty in CS, and whether this association was mediated by lower work-to-life conflict.Design/methodology/approachA total of 379 CS faculty across the U.S. (54% women, 52% with children at home) were surveyed during the COVID-19 pandemic (Fall 2020-Spring 2021).FindingsCompared to men, women CS faculty reported significantly higher work-to-life conflict, and that higher work-to-life conflict predicted poorer retention-related work outcomes for all faculty. However, for women only, FSSB predicted lower levels of work-to-life conflict, and in turn, better retention-related work outcomes.Practical implicationsResults suggest that emotionally-supportive supervisor behaviors may lower work-to-life conflict during the pandemic, which has important implications for retention-related work outcomes among women faculty in CS.Originality/valueResearch has yet to disentangle how managers can help to retain women CS faculty in light of the increasing and changing work and home demands due to the pandemic. The present study focused on whether FSSB – particularly emotional support – may benefit women CS faculty.",2024,,Gender in Management,39,1,52-70,2917603515,https://doi.org/10.1108/GM-10-2022-0326,,#96,Lawson 2024,"",""
