Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
The application of andragogy for the advanced diploma program in education at Saudi Arabia's Taif university,"Aljohani, Obaidalah H.; Alajlan, Sarah M.","This study's aim was to explore advanced diploma program students' perceptions about the application and importance of andragogy. The study also investigated if there is a difference, by gender, among the learners' point of view about the application and importance of andragogy to the learning environment. A self-administered questionnaire was utilized. The study population included all learners (n = 1,235) who were studying with Taif University's advanced diploma program in education. The study findings revealed that the importance of the five andragogical assumptions (motivation, experience, need to know, readiness to learn, and self-directedness) for the learners. There were statistically significant differences (α = 0.05), due to gender, among the students' perceptions about the learners' need to know; these differences were seen for both the application and importance of the andragogical principles; the variations favored females. Therefore, teachers should employ learning strategies that encourage self-directed learning among students. © 2021 IGI Global. All rights reserved.",2021,,International Journal of Information and Communication Technology Education,17,3,1-11,,10.4018/IJICTE.20210701.oa1,,#1,Aljohani 2021,"",""
A personal values view of international entrepreneurial intention,"Ammeer, M.A.; Haddoud, M.Y.; Onjewu, A.-K.E.","Purpose Recognising the shortage of research investigating the effect of individual characteristics in cross-border entrepreneurship, this study models the dimensions of personal values as predictors of international entrepreneurship. Also, noting the paucity of evidence on the influence of ethnicity and gender in the personal values and international entrepreneurship nexus, the study undertakes a multi-group analysis to clarify the moderating effects of these social antecedents in the context of Mauritius. Design/methodology/approach Cross-sectional data from Mauritius is examined using a sample of 504 students spread across six universities. The analysis takes a structural equation modelling approach. Findings The results show that, comparing the distinct personal values dimensions, international entrepreneurship has a positive association with self-enhancement and openness to change. Furthermore, it has a non-significant relationship with self-transcendence and a negative connection with conservation. Also, the multi-group analyses revealed significant differences in the individual correlations across gender and ethnic categories. Originality/value Building on emerging empirical interest in the literature, this study presents novel evidence of the link between personal values and international entrepreneurial intention in the context of Mauritius. Additionally, examining the moderating influence of ethnicity and gender in the personal values, international entrepreneurship nexus advances current literature. On a practical level, the study offers insights to universities and other stakeholders tasked with nurturing international entrepreneurial behaviour among students to contemplate personal and social antecedents and, accordingly, adapt their entrepreneurship pedagogy.",2022,/,International Journal of Entrepreneurial Behavior & Research,28,3,577-601,,10.1108/IJEBR-06-2021-0480,,#3,Ammeer 2022,"",""
Income Inequality in Patients (Pts) with Locally Advanced (LA) Non-Small Cell Lung Cancer (NSCLC) Receiving Proton BeamTherapy,"Konski, X.A.A.; Iocolano, M.; Yegya-Raman, N.; Cohen, R.; Langer, C.; Friedes, C.; Cengel, K.A.; Levin, W.P.; Lariviere, M.J.; Bradley, J.D.; Feigenberg, S.J.","Purpose/Objective(s)Proton beam therapy (PBT) use is limited by availability of PBT units and reimbursement. Health inequity in the use of PBT can exist based upon insurance coverage and access to PBT units. The concentration index (CI) is one measure used to quantify health inequity. CI use in identifying health inequity as it pertains to PBT use has not been documented to date. The purpose of this analysis is to examine the sociodemographic factors associated with PBT versus conventional radiotherapy (CRT) receipt and perform a health equity analysis in patients with LA-NSCLC.Materials/MethodsPts with LA-NSCLC treated between January 2011 and December 2021 at an academic medical center were reviewed retrospectively. Primary endpoint was treatment with PBT. Secondary endpoint was whether a health inequity existed according to the CI. Logistic regression analysis was used to determine any association between use of PBT and various sociodemographic variables including age, race, gender, median household income, and insurance type (Medicare vs other). Differences between continuous variables were investigated via a two-sided t-test and categorical variables via chi-square test. The Wagstaff correction of the CI was used to determine health inequity. The R statistical package was used for all statistical analyses (https://www.R-project.org/).ResultsOf a total of 594 pts, 293 received PBT and 301 received CRT. Pts treated with PBT were older, 69.7 vs 64, p<0.001, had higher median household income, $84,254 vs $74,310, p<0.001, were more likely to be White, p<0.001, live further away from the center, p = 0.023 and had Medicare insurance, p<0.001. Univariate analysis found age, race, income, distance, and insurance type to predict significantly for PBT use. On multivariate analysis, only Medicare, (p<0.001) predicting for PBT use. The CI was 0.178 (95% CI: 0.086-.27). A positive Concentration Index indicates a higher proportion of use of PBT among financially better off pts.ConclusionThis is the first analysis to show that pts with Medicare insurance were more likely to receive PBT for LA-NSCLC. This result is unsurprising, as most commercial insurance plans do not regularly reimburse the use of PBT. A positive CI indicates a disproportionate concentration of PBT use among the financially better off. Although distance to the proton beam center was longer in pts receiving PBT, there was no correlation between distance and income. Lower income pts may not have the resources to research and seek PBT. These results need confirmation in a larger dataset with a more diverse pt population. Further interventions are needed to lessen inequity and provide access to unique technologies to everyone. All rights reserved Elsevier.",2024,/,"International Journal of Radiation Oncology, Biology, Physics",120,2,e35-e35,,10.1016/j.ijrobp.2024.07.1855,,#4,Konski 2024,"",""
Investigating the determinants of starting salary of IT graduates,"Ge, Chunmian; Kankanhalli, Atreyi; Huang, Ke-Wei","The starting salary of a fresh graduate is considered a potential indicator of career advancement. Yet few studies have examined the determinants of starting salaries of information technology (IT) graduates. Further, existing studies have focused on how demographics affect either the salary or the kind of job the graduate enters into, but rarely both. In this paper, we explore both and examine if entry into an IT job mediates the effects of demographics on the starting salaries of fresh IT graduates. Our model is tested using data from annual surveys of undergraduate students majoring in IT at a large public university in Singapore over a 5-year period. We find that gender and foreigner status influence both starting salary and fresh graduates' entry into an IT vs. non IT job. Further, the effect of gender on the starting salaries of IT graduates is partially mediated by their entry into an IT job. In other words, part of the reason for a gender difference in starting salary could be attributed to female IT majors being less likely to enter IT jobs upon graduation than their male counterparts. On the other hand, foreign IT graduates are more likely to enter IT jobs, yet their starting salaries are found to be lower than local graduates. The implications of the results for research and practice are discussed.",2015,,Data Base for Advances in Information Systems,46,4,9-25,,10.1145/2843824.2843826,,#5,Ge 2015,"",""
Does gender matter? Exploring perceptions regarding health technologies among employees and students at a medical university,"Haluza, Daniela; Wernhart, Anna","With the emergence of an always-on culture and the private smartphones always within reach, professional and recreational contexts overlap. Little empirical knowledge is available on prevailing online habits among healthcare personnel and whether gender matters in this context. To investigate health technology-related preferences, we conducted an online survey among a purposive sample of employees and students at the Medical University of Vienna, Austria. In total, 905 participants (59.0%, 540/905, females) provided self-reported information on use of online services and mobile health applications (apps) as well as respective gender-specific internal and external apperceptions. Mann-Whitney U tests and binary regression analysis assessed respective gender differences. The structured German questionnaire was validated by principal component analysis. The study found a moderate familiarity with health technologies. As for gender differences, prevailing health app use was high among both male and female participants (39, 141/365, and 42%, 229/540, respectively), with apps for tracking activity and nutrition habits most commonly used. Approval for monitoring health and lifestyle parameters, eHealth and telemedicine knowledge levels, and online health information retrieval predicted health app use, whereas gender did not. Socio-demographic attributes including gender influence not only private online habits of users, but might also affect acceptance of health technologies and their professional use in a clinical setting. Thus, addressing the gender dimension already in concept stages of digital devices and services for healthcare and lifestyle could speed up private and public adoption of health technologies. © 2019 Elsevier B.V.",2019,,International Journal of Medical Informatics,130,,,,10.1016/j.ijmedinf.2019.08.008,,#7,Haluza 2019,"",""
Provincial and gridded population projection for China under shared socioeconomic pathways from 2010 to 2100,Yidan Chen; Fang Guo; Jiachen Wang; Wenjia Cai; Can Wang; Kaicun Wang,"In response to a growing demand for subnational and spatially explicit data on China’s future population, this study estimates China’s provincial population from 2010 to 2100 by age (0–100+), sex (male and female) and educational levels (illiterate, primary school, junior-high school, senior-high school, college, bachelor’s, and master’s and above) under different shared socioeconomic pathways (SSPs). The provincial projection takes into account fertility promoting policies and population ceiling restrictions of megacities that have been implemented in China in recent years to reduce systematic biases in current studies. The predicted provincial population is allocated to spatially explicit population grids for each year at 30 arc-seconds resolution based on representative concentration pathway (RCP) urban grids and historical population grids. The provincial projection data were validated using population data in 2017 from China’s Provincial Statistical Yearbook, and the accuracy of the population grids in 2015 was evaluated. These data have numerous potential uses and can serve as inputs in climate policy research with requirements for precise administrative or spatial population data in China.",2020,12/,Scientific Data,7,1,83 (13 pp.),,10.1038/s41597-020-0421-y,,#8,YidanChen 2020,"",""
"Exploring the environmental, personal and behavioural factors as determinants for university students’ food behaviour","Marquis, M.; Talbot, A.; Sabourin, A.; Riopel, C.","The research objective was to explore the environmental, personal and behavioural factors as determinants of university students’ food behaviour in Québec, Canada. A web-based questionnaire including factors likely to influence eating behaviours was developed. The questionnaire described 16 profiles, each associated with a food choice determinant. The students’ living arrangements and sociodemographic profile were also obtained. Descriptive statistics, chi-square tests and factor analysis were conducted. A total of 857 students participated in the study. Significant gender differences were noted as well as differences according to living arrangements (e.g., residence hall, apartment with a roommate, with parents or alone in an apartment). Significant relationships were also found between food insecurity and citizenship. Based on the factor analysis and the underlying constructs, four profiles describing different eaters were identified: the planet-nutrition-kitchen lover, the utilitarian lonely eater, the body-driven eater and the mindless eater. The results suggest topics to take into account when developing nutrition interventions or nutrition-based health prevention programmes. These topics include cooking skills, time constraints, commensality, food variety, pleasure, body concern, mindless eating and stress. Moreover, a marginal but worrisome food determinant is also discussed, namely food insecurity. The results suggest some components to strengthen or incorporate into future nutrition interventions, such as body satisfaction, body image and satiety. Strategies to decrease emotional eating and promote mindful eating are worthwhile considerations when developing a health promotion university programme. The heterogeneity of the living arrangements and how they relate to food behaviours are also of great importance. Lastly, it is crucial to provide food assistance programmes and services to students with financial limitations.",2019,01/,International Journal of Consumer Studies,43,1,113-22,,10.1111/ijcs.12490,,#9,Marquis 2019,"",""
Multifeature Quantification of Nuclear Properties from Images of H&E-Stained Biopsy Material for Investigating Changes in Nuclear Structure with Advancing CIN Grade,"Konstandinou, Christos; Glotsos, Dimitris; Kostopoulos, Spiros; Kalatzis, Ioannis; Ravazoula, Panagiota; Michail, George; Lavdas, Eleftherios; Cavouras, Dionisis; Sakellaropoulos, George","Background. Cervical dysplasia is a precancerous condition, and if left untreated, it may lead to cervical cancer, which is the second most common cancer in women. The purpose of this study was to investigate differences in nuclear properties of the H&E-stained biopsy material between low CIN and high CIN cases and associate those properties with the CIN grade. Methods. The clinical material comprised hematoxylin and eosin- (H&E-) stained biopsy specimens from lesions of 44 patients diagnosed with cervical intraepithelial neoplasia (CIN). Four or five nonoverlapping microscopy images were digitized from each patient's H&E specimens, from regions indicated by the expert physician. Sixty-three textural and morphological nuclear features were generated for each patient's images. The Wilcoxon statistical test and the point biserial correlation were used to estimate each feature's discriminatory power between low CIN and high CIN cases and its correlation with the advancing CIN grade, respectively. Results. Statistical analysis showed 19 features that quantify nuclear shape, size, and texture and sustain statistically significant differences between low CIN and high CIN cases. These findings revealed that nuclei in high CIN cases, as compared to nuclei in low CIN cases, have more irregular shape, are larger in size, are coarser in texture, contain higher edges, have higher local contrast, are more inhomogeneous, and comprise structures of different intensities. Conclusion. A systematic statistical analysis of nucleus features, quantified from the H&E-stained biopsy material, showed that there are significant differences in the shape, size, and texture of nuclei between low CIN and high CIN cases. © 2018 Christos Konstandinou et al.",2018,,Journal of Healthcare Engineering,2018,,,,10.1155/2018/6358189,,#10,Konstandinou 2018,"",""
Web-Based Creativity Assessment System that Collects Both Verbal and Figural Responses: Its Problems and Potentials,Jiajun Guo,"Creativity tests have been administered in traditional paper and pencil format for more than a half century. With the prevalence of computer/web-based testing and increasing demands for large-scale, faster, and more flexible testing procedures, it is necessary to explore and test the usability of web-based creativity tests. Yet few studies have focused on the use of technologies in the assessment of creativity. The purpose of the present study was to design and test the feasibility of an online creativity assessment system that can collect both verbal and drawing responses. The following two aims were addressed: (1) evaluate reliability evidence of creativity test scores, and (2) compare the online test with its paper version regarding creativity scores. One hundred and sixty-four participants were recruited from a northeast university in the US and randomly assigned into three groups: online-basic (OB), online-advanced (OA), and paper-and-pencil (PP). The findings indicated that no differences were found between different modes (online vs. paper) or different interfaces (simple tools vs. advanced tools) in terms of either creativity scores or reliability evidence. Additionally, males were found to produce overall significantly higher originality scores than females did in the line meaning test and the real-world problem test. The implications of these findings are further discussed in the paper.",2019,01/,International Journal of Information and Education Technology,9,1,27-34,,10.18178/ijiet.2019.9.1.1168,,#12,JiajunGuo 2019,"",""
Self-efficacy in cooking and consuming fruits and vegetables among Brazilian university students: the relationship with sociodemographic characteristics,"De borba, T.P.; Da silva, M.V.; Jomori, M.M.; Bernardo, G.L.; Fernandes, A.C.; Proenca, R.P.D.C.; Rockenbach, G.; Uggioni, P.L.","Purpose - Self-efficacy in cooking and consuming fruits and vegetables is one of the dimensions that compose cooking skills. This cross-sectional study aimed to assess the self-efficacy of Brazilian university students in cooking and consuming fruits and vegetables and examine the relationship of self-efficacy with sociodemographic and lifestyle characteristics. Design/methodology/approach - Data were collected through an online questionnaire, which was culturally adapted and validated for the studied population. Questions about self-efficacy for using basic cooking techniques (SECT), self-efficacy for using fruits, vegetables, and seasonings (SEFVS) and produce consumption self-efficacy (SEPC) were rated on a five-point Likert scale. Differences in median self-efficacy score between groups were compared using the Mann-Whitney U test or the Kruskal-Wallis test followed by the Mann-Whitney U test. Findings - 766 subjects participated in the study. The mean age was 21 ± 5.6 years, most respondents were female (60%), reported to know how to cook (72%), and lived with parents and/or grandparents (45%). The median SECT and SEFVS scores were 3.55, and the median SEPC score was 3.33. Female students, individuals aged more than 25 years, and students who did not live with their parents or grandparents had higher (p p = 0.023, 0.01, and 0.002, respectively) and not knowing how to cook (p Originality/value - The results of this study can guide interventions and public policies aimed at health promotion in the university setting.",2021,/,British Food Journal,,,2049-65,,10.1108/BFJ-04-2020-0311,,#13,Deborba 2021,"",""
